family,surface,setpoint_score,actual_score,score_delta_actual_minus_setpoint,setpoint_mae,actual_mae,mae_delta_actual_minus_setpoint,setpoint_centered_mae,actual_centered_mae,centered_mae_delta,setpoint_abs_offset,actual_abs_offset,abs_offset_delta
feedforward,forward,0.6652380952380952,0.5971428571428572,-0.06809523809523799,0.002406584487879331,0.0021811809125222483,-0.0002254035753570826,0.001975351037437204,0.00194929533863126,-2.605569880594419e-05,0.0011512681310673234,0.0009303590902665785,-0.00022090904080074498
feedforward,backward,0.5857142857142857,0.72,0.13428571428571423,0.0027805550414126768,0.0027692032432322356,-1.1351798180441169e-05,0.002392204245705796,0.0024284149075233744,3.621066181757823e-05,0.0010511842101051455,0.0009196686222521776,-0.00013151558785296782
gru_sequence,forward,0.4990476190476191,0.4399999999999999,-0.05904761904761918,0.002164238356016478,0.0020774367326451444,-8.680162337133378e-05,0.0018909938561798892,0.0019064236224597907,1.5429766279901475e-05,0.0009559975570537205,0.0007038063739952586,-0.00025219118305846197
gru_sequence,backward,0.5104761904761904,0.4233333333333333,-0.08714285714285713,0.002719263303887211,0.002401549147490546,-0.0003177141563966649,0.0023721435571945363,0.0023427117383570456,-2.943181883749077e-05,0.0009270753540798877,0.0005029801238214313,-0.0004240952302584564
harmonic_regression,forward,0.8047619047619048,0.7971428571428572,-0.007619047619047636,0.017219659708937577,0.0023550650812273243,-0.014864594627710254,0.0019226259063909903,0.0019380397565668065,1.5413850175816177e-05,0.01701384767055493,0.0011405610011817847,-0.015873286669373144
harmonic_regression,backward,0.7752380952380953,0.7657142857142857,-0.009523809523809601,0.01740820509169616,0.002965522791172649,-0.01444268230052351,0.002351289406120364,0.002402366833806959,5.107742768659541e-05,0.017259111966243516,0.0015066938618471055,-0.015752418104396412
lstm_sequence,forward,0.5280952380952381,0.46190476190476193,-0.06619047619047613,0.002222338122386252,0.002071452276224453,-0.00015088584616179896,0.0019052778916973459,0.0019144309476934677,9.153055996121828e-06,0.000990574941363486,0.0007067756734365342,-0.00028379926792695184
lstm_sequence,backward,0.5157142857142858,0.45666666666666667,-0.059047619047619126,0.0027391674091293925,0.0024236552555666566,-0.0003155121535627359,0.002377424241807322,0.0023523541490316144,-2.5070092775707556e-05,0.0009584472892748449,0.0005269682484127249,-0.00043147904086212
periodic_gru_sequence,forward,0.12095238095238095,0.09857142857142856,-0.02238095238095239,0.0018024272405047978,0.0016615455046764063,-0.00014088173582839153,0.001421000856632938,0.0013993589752955052,-2.16418813374327e-05,0.0009433797540496159,0.000755916342281111,-0.00018746341176850484
periodic_gru_sequence,backward,0.2861904761904762,0.005714285714285714,-0.2804761904761905,0.0024893706163869535,0.0012625017802450034,-0.00122686883614195,0.002050857478789949,0.0011372986983631623,-0.0009135587804267869,0.0010532153214438593,0.0005022666032504005,-0.0005509487181934588
