family,surface,shape_first_decision,composite_score,mae,mean_pct,p95_pct,max_mae,max_mean_pct,std_mean_pct,centered_mae,p2p_error,abs_offset,decision_note,collage_path,onnx_model_path,python_model_path
periodic_lstm_sequence,backward,DEMOTED_FALSE_SCALAR_LEADER,0.02857142857142857,0.001670675969811525,3.281545159855137,7.046517130881899,0.028831714524,32.915877993193,3.498904686504883,0.0012631429223427728,0.003177043757069499,0.0009480287796142166,"old scalar leader; collage shows harmonic loss/catastrophic conditions, so it cannot lead without FFT shape proof",output/validation_checks/track2_familywise_onnx_report/periodic_lstm_sequence/2026-07-09-10-24-20__track2_periodic_lstm_sequence_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/periodic_lstm_sequence/backward/onnx/model.onnx,models/polished_dataset/setpoints/periodic_lstm_sequence/backward/python/periodic_lstm_sequence-epoch=208-val_mae=0.00138862.ckpt
periodic_mlp_harmonic,backward,LIGHTWEIGHT_HARMONIC_COMPARATOR,0.17523809523809522,0.0024703424592527152,4.276644300516131,9.955735524024881,0.030578127872,34.509257097191,4.390810243839174,0.002026084453863779,0.008406866828234806,0.0009960498315827787,"kept as compact harmonic comparator, not as best target",output/validation_checks/track2_familywise_onnx_report/periodic_mlp_harmonic/2026-07-08-09-46-27__track2_periodic_mlp_harmonic_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/periodic_mlp_harmonic/backward/onnx/model.onnx,models/polished_dataset/setpoints/periodic_mlp_harmonic/backward/python/periodic_mlp-epoch=081-val_mae=0.00121896.ckpt
wave4_1_mae_robust_loss,backward,ACTIVE_NON_WINDOWED_WITH_SHAPE_REVIEW,0.18047619047619048,0.0024509899112748774,4.398431669434137,10.886829329406071,0.032566048178,37.179199580989,4.8163809483147055,0.0020598011781555584,0.006462631368776783,0.0009029192451463436,"kept as non-windowed path, but backward ripple conditions are not solved",output/validation_checks/track2_familywise_onnx_report/wave4_1_mae_robust_loss/2026-07-12-20-30-49__track2_wave4_1_mae_robust_loss_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/wave4_1_mae_robust_loss/backward/onnx/model.onnx,models/polished_dataset/setpoints/wave4_1_mae_robust_loss/backward/python/curve_aware_harmonic_residual_offset_probe-epoch=088-val_mae=0.00183184.ckpt
wave4_2_quantile_p10_p50_p90,backward,SECONDARY_NON_WINDOWED,0.20047619047619045,0.002476395530040433,4.468392184540192,10.934559622763885,0.032116968323,36.666505210599,4.761500831106788,0.0020771658741198947,0.005987558720083511,0.0009363670530511771,kept only as uncertainty-aware secondary path,output/validation_checks/track2_familywise_onnx_report/wave4_2_quantile_p10_p50_p90/2026-07-14-18-14-36__track2_wave4_2_quantile_p10_p50_p90_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/wave4_2_quantile_p10_p50_p90/backward/onnx/model.onnx,models/polished_dataset/setpoints/wave4_2_quantile_p10_p50_p90/backward/python/curve_aware_harmonic_residual_offset_probe-epoch=063-val_mae=0.00181729.ckpt
periodic_gru_sequence,backward,ACTIVE_TEMPORAL_DEFAULT_WITH_SHAPE_REVIEW,0.2861904761904762,0.0024893706163869535,4.631533490109958,11.377737531190032,0.031823895001,36.33191651654,4.631886464443929,0.002050857478789949,0.004867453170826342,0.0010532153214438593,"kept for temporal consistency and actual-values strength, but backward high-ripple conditions need repair",output/validation_checks/track2_familywise_onnx_report/periodic_gru_sequence/2026-07-09-09-05-16__track2_periodic_gru_sequence_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/periodic_gru_sequence/backward/onnx/model.onnx,models/polished_dataset/setpoints/periodic_gru_sequence/backward/python/periodic_gru_sequence-epoch=064-val_mae=0.00189811.ckpt
wave4_1_smooth_l1_robust_loss,backward,CLOSED_OR_DIAGNOSTIC,0.3376190476190476,0.00252258221054796,4.608491540772378,10.754401564473676,0.032290884083,36.865057049106,4.662534509406547,0.0021127865138123045,0.005803382151111207,0.0010531922910299457,not part of reduced active set,output/validation_checks/track2_familywise_onnx_report/wave4_1_smooth_l1_robust_loss/2026-07-13-09-08-55__track2_wave4_1_smooth_l1_robust_loss_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/wave4_1_smooth_l1_robust_loss/backward/onnx/model.onnx,models/polished_dataset/setpoints/wave4_1_smooth_l1_robust_loss/backward/python/curve_aware_harmonic_residual_offset_probe-epoch=115-val_mae=0.00193797.ckpt
periodic_temporal_convolution,backward,CLOSED_OR_DIAGNOSTIC,0.4057142857142857,0.002591381157304195,4.862397890154931,11.26603108801029,0.031824838562,36.332993737599,4.502352806116902,0.0021278405602237305,0.005465691828074806,0.0011416638544320269,not part of reduced active set,output/validation_checks/track2_familywise_onnx_report/periodic_temporal_convolution/2026-07-08-23-45-38__track2_periodic_temporal_convolution_familywise_onnx_report/collages/polished_dataset__setpoints/backward_12_curve_collage.png,models/polished_dataset/setpoints/periodic_temporal_convolution/backward/onnx/model.onnx,models/polished_dataset/setpoints/periodic_temporal_convolution/backward/python/periodic_temporal_convolution-epoch=048-val_mae=0.00196877.ckpt
periodic_gru_sequence,forward,ACTIVE_PRIMARY_TEMPORAL,0.12095238095238095,0.0018024272405047978,3.9463199519821357,8.937163091499867,0.008696817812,19.669333339845,3.096727813613753,0.001421000856632938,0.0031017478395369835,0.0009433797540496159,passes forward shape-risk screen and remains forward-led temporal choice,output/validation_checks/track2_familywise_onnx_report/periodic_gru_sequence/2026-07-09-09-05-16__track2_periodic_gru_sequence_familywise_onnx_report/collages/polished_dataset__setpoints/forward_12_curve_collage.png,models/polished_dataset/setpoints/periodic_gru_sequence/forward/onnx/model.onnx,models/polished_dataset/setpoints/periodic_gru_sequence/forward/python/periodic_gru_sequence-epoch=091-val_mae=0.00183161.ckpt
wave4_1_mae_robust_loss,forward,ACTIVE_PRIMARY_NON_WINDOWED,0.16523809523809524,0.0017515702468697944,3.801520324953752,9.577632995268345,0.009451322044,21.106480031945,3.160445929256921,0.0014792590898218391,0.004238863329228479,0.000722233994625654,best non-windowed raw/offset tradeoff; shape acceptable enough to keep as target,output/validation_checks/track2_familywise_onnx_report/wave4_1_mae_robust_loss/2026-07-12-20-30-49__track2_wave4_1_mae_robust_loss_familywise_onnx_report/collages/polished_dataset__setpoints/forward_12_curve_collage.png,models/polished_dataset/setpoints/wave4_1_mae_robust_loss/forward/onnx/model.onnx,models/polished_dataset/setpoints/wave4_1_mae_robust_loss/forward/python/curve_aware_harmonic_residual_offset_probe-epoch=105-val_mae=0.00179190.ckpt
wave4_2_quantile_p10_p50_p90,forward,SECONDARY_NON_WINDOWED,0.21095238095238095,0.0018246743501222087,3.978924118333018,9.469820782079152,0.009590740917,21.327244487553,3.1591456199961403,0.001506203338523764,0.00417368790396722,0.0008981834056770073,kept only as uncertainty-aware secondary path,output/validation_checks/track2_familywise_onnx_report/wave4_2_quantile_p10_p50_p90/2026-07-14-18-14-36__track2_wave4_2_quantile_p10_p50_p90_familywise_onnx_report/collages/polished_dataset__setpoints/forward_12_curve_collage.png,models/polished_dataset/setpoints/wave4_2_quantile_p10_p50_p90/forward/onnx/model.onnx,models/polished_dataset/setpoints/wave4_2_quantile_p10_p50_p90/forward/python/curve_aware_harmonic_residual_offset_probe-epoch=157-val_mae=0.00180121.ckpt
