harmonic_order,row_count,mean_abs_amplitude_deg,median_abs_amplitude_deg,p95_abs_amplitude_deg,max_abs_amplitude_deg
0,1938,0.039935094,0.037985214,0.083114220,0.096616939
1,1938,0.017149350,0.017139986,0.017278498,0.017859552
3,1938,0.000875204,0.000869692,0.001134171,0.001460335
39,1938,0.000790242,0.000708984,0.001588147,0.001878775
40,1938,0.000566066,0.000465805,0.000896364,0.001100963
78,1938,0.001124873,0.001028361,0.002319621,0.003014301
81,1938,0.000222494,0.000220596,0.000411677,0.000610119
156,1938,0.001042352,0.000319977,0.004207800,0.034888028
162,1938,0.000876746,0.000234904,0.003036829,0.017653806
240,1938,0.000661320,0.000477167,0.001756488,0.010896642
