rank,source_file_path,direction_label,speed_rpm,torque_nm,oil_temperature_deg,curve_mean_deg,absolute_curve_mean_deg,curve_peak_to_peak_deg
1,data/datasets/Test_35degree/200rpm/200.0rpm1800.0Nm35.0deg.csv,forward,200.000000000,1800.000000000,35.000000000,-0.096616931,0.096616931,0.048100941
2,data/datasets/Test_30degree/300rpm/300.0rpm1800.0Nm30.0deg.csv,forward,300.000000000,1800.000000000,30.000000000,-0.095807672,0.095807672,0.046345837
3,data/datasets/Test_25degree/200rpm/200.0rpm1800.0Nm25.0deg.csv,forward,200.000000000,1800.000000000,25.000000000,-0.095685981,0.095685981,0.047206536
4,data/datasets/Test_35degree/700rpm/700.0rpm1800.0Nm35.0deg.csv,forward,700.000000000,1800.000000000,35.000000000,-0.094271816,0.094271816,0.047848791
5,data/datasets/Test_30degree/800rpm/800.0rpm1800.0Nm30.0deg.csv,forward,800.000000000,1800.000000000,30.000000000,-0.093640067,0.093640067,0.046183474
6,data/datasets/Test_30degree/500rpm/500.0rpm1800.0Nm30.0deg.csv,forward,500.000000000,1800.000000000,30.000000000,-0.093111694,0.093111694,0.046271339
7,data/datasets/Test_35degree/1000rpm/1000.0rpm1800.0Nm35.0deg.csv,forward,1000.000000000,1800.000000000,35.000000000,-0.092984475,0.092984475,0.045909092
8,data/datasets/Test_35degree/1400rpm/1400.0rpm1800.0Nm35.0deg.csv,forward,1400.000000000,1800.000000000,35.000000000,-0.092719704,0.092719704,0.048645616
9,data/datasets/Test_30degree/1000rpm/1000.0rpm1800.0Nm30.0deg.csv,forward,1000.000000000,1800.000000000,30.000000000,-0.092214689,0.092214689,0.047390081
10,data/datasets/Test_30degree/300rpm/300.0rpm1700.0Nm30.0deg.csv,forward,300.000000000,1700.000000000,30.000000000,-0.091875315,0.091875315,0.046461739
11,data/datasets/Test_25degree/200rpm/200.0rpm1700.0Nm25.0deg.csv,forward,200.000000000,1700.000000000,25.000000000,-0.091833152,0.091833152,0.046541616
12,data/datasets/Test_25degree/900rpm/900.0rpm1800.0Nm25.0deg.csv,forward,900.000000000,1800.000000000,25.000000000,-0.091696016,0.091696016,0.046221375
13,data/datasets/Test_35degree/300rpm/300.0rpm1800.0Nm35.0deg.csv,forward,300.000000000,1800.000000000,35.000000000,-0.091307424,0.091307424,0.046152756
14,data/datasets/Test_30degree/900rpm/900.0rpm1800.0Nm30.0deg.csv,forward,900.000000000,1800.000000000,30.000000000,-0.091242641,0.091242641,0.045619473
15,data/datasets/Test_30degree/100rpm/100.0rpm1800.0Nm30.0deg.csv,forward,100.000000000,1800.000000000,30.000000000,-0.091178156,0.091178156,0.047226913
16,data/datasets/Test_25degree/100rpm/100.0rpm1800.0Nm25.0deg.csv,forward,100.000000000,1800.000000000,25.000000000,-0.091051713,0.091051713,0.046655610
17,data/datasets/Test_30degree/1400rpm/1400.0rpm1800.0Nm30.0deg.csv,forward,1400.000000000,1800.000000000,30.000000000,-0.090731829,0.090731829,0.049150907
18,data/datasets/Test_35degree/1100rpm/1100.0rpm1800.0Nm35.0deg.csv,forward,1100.000000000,1800.000000000,35.000000000,-0.090415031,0.090415031,0.058191694
19,data/datasets/Test_25degree/1100rpm/1100.0rpm1800.0Nm25.0deg.csv,forward,1100.000000000,1800.000000000,25.000000000,-0.090286486,0.090286486,0.059419688
20,data/datasets/Test_35degree/100rpm/100.0rpm1800.0Nm35.0deg.csv,forward,100.000000000,1800.000000000,35.000000000,-0.090147249,0.090147249,0.047234893
21,data/datasets/Test_30degree/800rpm/800.0rpm1700.0Nm30.0deg.csv,forward,800.000000000,1700.000000000,30.000000000,-0.089975014,0.089975014,0.046364509
22,data/datasets/Test_25degree/600rpm/600.0rpm1700.0Nm25.0deg.csv,forward,600.000000000,1700.000000000,25.000000000,-0.089528024,0.089528024,0.044851467
23,data/datasets/Test_35degree/900rpm/900.0rpm1700.0Nm35.0deg.csv,forward,900.000000000,1700.000000000,35.000000000,-0.089342177,0.089342177,0.044939533
24,data/datasets/Test_30degree/200rpm/200.0rpm1800.0Nm30.0deg.csv,forward,200.000000000,1800.000000000,30.000000000,-0.089319423,0.089319423,0.047516555
25,data/datasets/Test_25degree/1400rpm/1400.0rpm1800.0Nm25.0deg.csv,forward,1400.000000000,1800.000000000,25.000000000,-0.089279249,0.089279249,0.046596959
