filtered_row_index,rpm,deg,tor,fft_y_Fw_filtered_ampl_0,fft_y_Fw_filtered_phase_0,fft_y_Fw_filtered_ampl_1,fft_y_Fw_filtered_phase_1,fft_y_Fw_filtered_ampl_3,fft_y_Fw_filtered_phase_3,fft_y_Fw_filtered_ampl_39,fft_y_Fw_filtered_phase_39,fft_y_Fw_filtered_ampl_40,fft_y_Fw_filtered_phase_40,fft_y_Fw_filtered_ampl_78,fft_y_Fw_filtered_phase_78,fft_y_Fw_filtered_ampl_81,fft_y_Fw_filtered_phase_81,fft_y_Fw_filtered_ampl_156,fft_y_Fw_filtered_phase_156,fft_y_Fw_filtered_ampl_162,fft_y_Fw_filtered_phase_162,fft_y_Fw_filtered_ampl_240,fft_y_Fw_filtered_phase_240
0,1000.0,25.0,0.0,0.025562777045340997,0.0,0.017052561250763418,-0.007461534172048425,0.000830283403303753,1.677731602265384,0.0007566979180706907,-1.6675771927058862,0.0008126859318945016,0.08180641340642526,0.00034442259150270683,1.0887835643019836,0.0003974655482717777,-0.4852528981639674,0.00046091714890762536,1.6998843394008,0.00011744473540633382,2.3580146497106296,0.0002093271077141289,-2.459194161247383
1,1000.0,25.0,100.0,0.023896079335076793,0.0,0.017210901211241348,-0.002043515874041756,0.0006416488063041021,1.5784074821997303,0.0007742554274827292,-1.6170716055458263,0.0008837808455112677,-0.03526778459991965,0.00019567060224954968,0.6348685958506217,0.0003120425420080137,-1.0747768954897414,0.0002480262599844933,1.110232446427976,8.249160949214875e-05,2.461041535528926,0.00032856891967458866,-2.839309081032633
2,1000.0,25.0,1000.0,0.06251355473473506,0.0,0.017205414445353624,-0.01000390890977891,0.0007894225462830623,1.7907768758931217,0.0010811126916487315,-1.1878948551345787,0.0008544176226149044,0.21613757087153873,0.001008585821011112,0.0014157648637909833,0.00030856017708265956,-1.5754081947071954,0.00011897250132170546,1.9120418254335636,0.00018779354350964545,1.9493636449677483,0.000488459244265521,-2.123056119640674
3,1000.0,25.0,1100.0,0.05882436370638261,0.0,0.01720487964622122,-0.013696383316634822,0.0008065499754236213,1.8239582792313698,0.0011090761630614815,-1.1506020429460988,0.0008192469475712318,0.24145268356520078,0.0010981244970970864,0.012588599988624539,0.0003238738129573461,-1.5683034396521076,0.00012225065234260752,2.0123364375112405,0.0002297908125446442,1.926240184708429,0.0005116247692249363,-2.0933296388564107
4,1000.0,25.0,1200.0,0.06174858512978384,0.0,0.017216195727470796,-0.014093237515943104,0.0008299725532465213,1.8634897184942585,0.0011882707380179954,-1.1034818256403154,0.0007877162496624736,0.2401809035435668,0.0012025319034009777,-0.009311406092578207,0.0003221729552699484,-1.6599273177051275,0.0001243632191443303,2.119309386395866,0.0002392155759831804,1.9390358944355763,0.0004972448816714505,-2.002680455584694
5,1000.0,25.0,1300.0,0.06700233230777738,0.0,0.017151570116415563,-0.010475900109343383,0.0008749790777478313,1.904042662931496,0.001300906827295702,-1.061739457600622,0.0009119166184253815,0.22379245069745263,0.0013262070300048793,-0.044599566010123944,0.00032233809608694475,-1.7482263702285201,0.00010491035254160697,2.3315917457416253,0.00022319375939114532,2.0394047377788187,0.00046552616591432846,-1.7923358185948455
6,1000.0,25.0,1500.0,0.07316652970458798,0.0,0.017204533100700976,-0.011972317814438749,0.0009643996037469112,1.9147204804416078,0.0014509742862357704,-0.978212599181648,0.0008106569914908547,0.07982187916229833,0.0015721338320828103,-0.056115544957501456,0.00032648695600921967,-1.8887348607709986,0.00011819417024972777,2.669555015610638,0.0002610280654936459,2.0878650249858546,0.0005248800276258535,-1.494284756244896
7,1000.0,25.0,1600.0,0.07785567607260523,0.0,0.0172023274441153,-0.013466870826152484,0.0009647083892340506,1.9291315074500661,0.0015527915703235666,-0.9611502285644111,0.0008125239249246578,0.042940803731486316,0.0017101458510406272,-0.08506768545955562,0.0003290581570319333,-1.931247973307106,0.00012368587855885003,2.926995756192613,0.0002638845102683864,2.0962526643352466,0.0005871504144147849,-1.3429080565899139
8,1000.0,25.0,1700.0,0.08015294821151807,0.0,0.017171101711378062,-0.02079735121655465,0.0009955741886581593,1.9795287508781019,0.0017008686647266508,-0.921467743409109,0.0007621420096221959,0.21847013440575733,0.0017906044330903217,-0.07548503496649565,0.00036615000371783684,-1.9072154543656077,0.00014085904506870868,2.947737365119064,0.0002961463441471785,2.09051921445359,0.000615414288395452,-1.3167991686857146
9,1000.0,25.0,1800.0,0.08380682854857893,0.0,0.01721275881957574,-0.017012218487215982,0.0010518687434749692,1.9630740420435446,0.0016761538440215136,-0.9241836768227386,0.0007732044356752799,0.06389752836701207,0.0019510169718504485,-0.07526138899828308,0.00036085467069069533,-1.9579129923194813,0.00015527479861674696,3.1063950165740932,0.0003093972159845164,2.119387576505548,0.0006679600975292932,-1.2277879317793894
