condition_id,surface,learned_h08_gate,residual_abs_max_deg,reconstruction_max_abs_difference_deg,onnx_max_abs_difference_deg,plc_reference_max_abs_difference_deg
speed_100rpm__torque_100Nm__temperature_30degC__Fw,Fw,0.30896928906440735,0.0004891647840850055,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_100rpm__torque_100Nm__temperature_30degC__Bw,Bw,0.2522863745689392,0.0,3.725290298461914e-09,0.0,0.0
speed_100rpm__torque_100Nm__temperature_35degC__Fw,Fw,0.26529642939567566,0.0004743326280731708,3.725290298461914e-09,3.725290298461914e-09,7.450580596923828e-09
speed_100rpm__torque_100Nm__temperature_35degC__Bw,Bw,0.1970798224210739,0.0,1.862645149230957e-09,0.0,0.0
speed_100rpm__torque_300Nm__temperature_30degC__Fw,Fw,0.30253541469573975,0.0004142609832342714,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_100rpm__torque_300Nm__temperature_30degC__Bw,Bw,0.2618198096752167,0.0,1.862645149230957e-09,0.0,0.0
speed_100rpm__torque_400Nm__temperature_30degC__Fw,Fw,0.2991901934146881,0.00037900739698670805,7.450580596923828e-09,3.725290298461914e-09,3.725290298461914e-09
speed_100rpm__torque_400Nm__temperature_30degC__Bw,Bw,0.26630258560180664,0.0,1.862645149230957e-09,0.0,0.0
speed_100rpm__torque_500Nm__temperature_35degC__Fw,Fw,0.25231578946113586,0.0003623811062425375,7.450580596923828e-09,7.450580596923828e-09,1.1175870895385742e-08
speed_100rpm__torque_500Nm__temperature_35degC__Bw,Bw,0.21758024394512177,0.0,1.862645149230957e-09,0.0,0.0
speed_100rpm__torque_600Nm__temperature_35degC__Fw,Fw,0.24892449378967285,0.00031882189796306193,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_100rpm__torque_600Nm__temperature_35degC__Bw,Bw,0.2223222255706787,0.0,3.725290298461914e-09,0.0,0.0
speed_100rpm__torque_900Nm__temperature_35degC__Fw,Fw,0.23838824033737183,0.00025458348682150245,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_100rpm__torque_900Nm__temperature_35degC__Bw,Bw,0.23558133840560913,0.0,3.725290298461914e-09,0.0,0.0
speed_100rpm__torque_1000Nm__temperature_30degC__Fw,Fw,0.2773946523666382,0.0003588975523598492,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_100rpm__torque_1000Nm__temperature_30degC__Bw,Bw,0.28931930661201477,0.0,3.725290298461914e-09,0.0,0.0
speed_100rpm__torque_1100Nm__temperature_30degC__Fw,Fw,0.27348384261131287,0.0003862764860969037,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_100rpm__torque_1100Nm__temperature_30degC__Bw,Bw,0.29253673553466797,0.0,7.450580596923828e-09,0.0,0.0
speed_200rpm__torque_100Nm__temperature_30degC__Fw,Fw,0.29687005281448364,0.00041935982881113887,3.725290298461914e-09,3.725290298461914e-09,7.450580596923828e-09
speed_200rpm__torque_100Nm__temperature_30degC__Bw,Bw,0.23232844471931458,0.0,1.862645149230957e-09,0.0,0.0
speed_200rpm__torque_200Nm__temperature_30degC__Fw,Fw,0.29347291588783264,0.00037846009945496917,3.725290298461914e-09,3.725290298461914e-09,1.1175870895385742e-08
speed_200rpm__torque_200Nm__temperature_30degC__Bw,Bw,0.2375045269727707,0.0,1.862645149230957e-09,0.0,0.0
speed_200rpm__torque_300Nm__temperature_25degC__Fw,Fw,0.32161572575569153,0.0003902346361428499,3.725290298461914e-09,3.725290298461914e-09,2.9802322387695312e-08
speed_200rpm__torque_300Nm__temperature_25degC__Bw,Bw,0.2802395224571228,0.0,1.862645149230957e-09,0.0,0.0
speed_200rpm__torque_900Nm__temperature_25degC__Fw,Fw,0.2977089285850525,0.0003816559037659317,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_200rpm__torque_900Nm__temperature_25degC__Bw,Bw,0.30413123965263367,0.0,3.725290298461914e-09,0.0,0.0
speed_300rpm__torque_100Nm__temperature_35degC__Fw,Fw,0.2385767698287964,0.000392162095522508,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_300rpm__torque_100Nm__temperature_35degC__Bw,Bw,0.15327465534210205,0.0,3.725290298461914e-09,0.0,0.0
speed_300rpm__torque_200Nm__temperature_30degC__Fw,Fw,0.279861181974411,0.0003137742751277983,3.725290298461914e-09,3.725290298461914e-09,5.587935447692871e-09
speed_300rpm__torque_200Nm__temperature_30degC__Bw,Bw,0.21628713607788086,0.0,2.7939677238464355e-09,0.0,0.0
speed_300rpm__torque_800Nm__temperature_25degC__Fw,Fw,0.28818804025650024,0.00039252275018952787,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_300rpm__torque_800Nm__temperature_25degC__Bw,Bw,0.2831341028213501,0.0,3.725290298461914e-09,0.0,0.0
speed_300rpm__torque_1000Nm__temperature_25degC__Fw,Fw,0.27922847867012024,0.0004369015514384955,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_300rpm__torque_1000Nm__temperature_25degC__Bw,Bw,0.2905232310295105,0.0,3.725290298461914e-09,0.0,0.0
speed_400rpm__torque_0Nm__temperature_30degC__Fw,Fw,0.27256861329078674,0.000350646092556417,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_400rpm__torque_0Nm__temperature_30degC__Bw,Bw,0.18188488483428955,0.0,1.862645149230957e-09,0.0,0.0
speed_400rpm__torque_300Nm__temperature_25degC__Fw,Fw,0.2947525382041931,0.00031297397799789906,3.725290298461914e-09,3.725290298461914e-09,7.450580596923828e-09
speed_400rpm__torque_300Nm__temperature_25degC__Bw,Bw,0.24097536504268646,0.0,3.725290298461914e-09,0.0,0.0
speed_400rpm__torque_400Nm__temperature_25degC__Fw,Fw,0.2906970977783203,0.0003054482804145664,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_400rpm__torque_400Nm__temperature_25degC__Bw,Bw,0.24601434171199799,0.0,1.862645149230957e-09,0.0,0.0
speed_400rpm__torque_600Nm__temperature_35degC__Fw,Fw,0.20239906013011932,0.00026965508004650474,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_400rpm__torque_600Nm__temperature_35degC__Bw,Bw,0.15888403356075287,0.0,1.862645149230957e-09,0.0,0.0
speed_400rpm__torque_700Nm__temperature_25degC__Fw,Fw,0.27783721685409546,0.0003638317284639925,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_400rpm__torque_700Nm__temperature_25degC__Bw,Bw,0.2599535882472992,0.0,1.862645149230957e-09,0.0,0.0
speed_400rpm__torque_700Nm__temperature_30degC__Fw,Fw,0.24383355677127838,0.00038987596053630114,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_400rpm__torque_700Nm__temperature_30degC__Bw,Bw,0.21963340044021606,0.0,3.725290298461914e-09,0.0,0.0
speed_400rpm__torque_900Nm__temperature_30degC__Fw,Fw,0.23470352590084076,0.0004743873723782599,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_400rpm__torque_900Nm__temperature_30degC__Bw,Bw,0.22876912355422974,0.0,3.725290298461914e-09,0.0,0.0
speed_400rpm__torque_1000Nm__temperature_25degC__Fw,Fw,0.26399654150009155,0.0004399180761538446,1.4901161193847656e-08,7.450580596923828e-09,2.9802322387695312e-08
speed_400rpm__torque_1000Nm__temperature_25degC__Bw,Bw,0.2721558213233948,0.0,3.725290298461914e-09,0.0,0.0
speed_400rpm__torque_1400Nm__temperature_25degC__Fw,Fw,0.24416972696781158,0.00035617148387245834,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_400rpm__torque_1400Nm__temperature_25degC__Bw,Bw,0.2858668267726898,0.0,3.725290298461914e-09,0.0,0.0
speed_400rpm__torque_1600Nm__temperature_35degC__Fw,Fw,0.15453851222991943,0.00037609844002872705,1.4901161193847656e-08,7.450580596923828e-09,7.450580596923828e-09
speed_400rpm__torque_1600Nm__temperature_35degC__Bw,Bw,0.2065156102180481,0.0,7.450580596923828e-09,0.0,0.0
speed_500rpm__torque_300Nm__temperature_35degC__Fw,Fw,0.197701558470726,0.00028076174203306437,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_500rpm__torque_300Nm__temperature_35degC__Bw,Bw,0.1170661523938179,0.0,1.862645149230957e-09,0.0,0.0
speed_500rpm__torque_700Nm__temperature_25degC__Fw,Fw,0.26204776763916016,0.0003412262594792992,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_500rpm__torque_700Nm__temperature_25degC__Bw,Bw,0.23931673169136047,0.0,3.725290298461914e-09,0.0,0.0
speed_500rpm__torque_900Nm__temperature_30degC__Fw,Fw,0.21631985902786255,0.00043722108239308,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_500rpm__torque_900Nm__temperature_30degC__Bw,Bw,0.20663055777549744,0.0,3.725290298461914e-09,0.0,0.0
speed_500rpm__torque_1200Nm__temperature_25degC__Fw,Fw,0.23755738139152527,0.00039029133040457964,7.450580596923828e-09,7.450580596923828e-09,2.2351741790771484e-08
speed_500rpm__torque_1200Nm__temperature_25degC__Bw,Bw,0.26012587547302246,0.0,3.725290298461914e-09,0.0,0.0
speed_500rpm__torque_1400Nm__temperature_35degC__Fw,Fw,0.14334876835346222,0.0003150180564261973,7.450580596923828e-09,7.450580596923828e-09,2.9802322387695312e-08
speed_500rpm__torque_1400Nm__temperature_35degC__Bw,Bw,0.17689469456672668,0.0,3.725290298461914e-09,0.0,0.0
speed_500rpm__torque_1600Nm__temperature_30degC__Fw,Fw,0.17948542535305023,0.00021938460122328252,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_500rpm__torque_1600Nm__temperature_30degC__Bw,Bw,0.23508013784885406,0.0,7.450580596923828e-09,0.0,0.0
speed_500rpm__torque_1700Nm__temperature_25degC__Fw,Fw,0.21070212125778198,0.0002685484942048788,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_500rpm__torque_1700Nm__temperature_25degC__Bw,Bw,0.27644890546798706,0.0,3.725290298461914e-09,0.0,0.0
speed_600rpm__torque_100Nm__temperature_30degC__Fw,Fw,0.23517103493213654,0.0002660090976860374,3.725290298461914e-09,3.725290298461914e-09,7.450580596923828e-09
speed_600rpm__torque_100Nm__temperature_30degC__Bw,Bw,0.13789886236190796,0.0,3.725290298461914e-09,0.0,0.0
speed_600rpm__torque_100Nm__temperature_35degC__Fw,Fw,0.18818630278110504,0.00028451636899262667,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_600rpm__torque_100Nm__temperature_35degC__Bw,Bw,0.07881083339452744,0.0,1.862645149230957e-09,0.0,0.0
