condition_id,split,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,source_path,source_row_count,finite_value_pass,forward_mean_te_deg,backward_mean_te_deg,signed_mean_gap_deg,absolute_mean_gap_deg,absolute_mean_gap_arcmin,raw_pair_rmse_deg,centered_pair_rmse_deg,centered_pair_correlation,forward_peak_to_peak_deg,backward_peak_to_peak_deg,peak_to_peak_difference_deg,slope_pair_rmse_deg_per_deg,gap_zero_crossing_count,target_derived_best_shift_deg,target_derived_aligned_centered_rmse_deg,harmonic_1_phase_gap_rad,harmonic_3_phase_gap_rad,harmonic_39_phase_gap_rad,harmonic_40_phase_gap_rad,harmonic_78_phase_gap_rad,harmonic_81_phase_gap_rad,offline_gap_proxy_only
speed_100rpm__torque_0Nm__temperature_25degC,train,100.0,0.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm0.0Nm25.0deg.csv,194400,True,-0.02528779721074811,-0.019210123267087834,-0.006077673943660277,0.006077673943660277,0.3646604366196166,0.006195248173720827,0.0012012407621056465,0.9957190277723518,0.03873282128494385,0.03944851142180946,-0.0007156901368656141,0.0019372892275132166,0,0.0,0.0012012407621056465,0.024996701617915333,0.09522642980932816,0.34460601837518,0.18993366440451848,0.5792955106533174,1.0302279741933071,True
speed_100rpm__torque_0Nm__temperature_35degC,train,100.0,0.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm0.0Nm35.0deg.csv,194400,True,-0.02430231134725854,-0.018716088476180993,-0.005586222871077549,0.005586222871077549,0.33517337226465294,0.005728883189101721,0.0012705182521406011,0.9955003683611219,0.03847706055886884,0.039982262291933454,-0.0015052017330646136,0.0020390376045911138,0,1.7578125,0.0012380941056108971,0.02319589606357067,0.1435416149165385,0.29210114482962135,0.3464554921048451,2.713827094755788,1.4878698442864275,True
speed_100rpm__torque_100Nm__temperature_25degC,train,100.0,100.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm100.0Nm25.0deg.csv,194400,True,-0.03118119914516581,-0.01121529920955558,-0.01996589993561023,0.01996589993561023,1.197953996136614,0.01998749663126636,0.0009289033028703657,0.9971187621543652,0.03812871164674396,0.03770572856068724,0.0004229830860567191,0.002478052666125023,0,0.87890625,0.0008121711976590233,0.02261358142679296,0.020461397981462962,0.06586835391702928,0.959372027180846,2.6132307011236615,1.8321692597921375,True
speed_100rpm__torque_200Nm__temperature_25degC,train,100.0,200.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm200.0Nm25.0deg.csv,194401,True,-0.030577242210909884,-0.0012808905976874124,-0.02929635161322247,0.02929635161322247,1.7577810967933483,0.02931177780202151,0.0009508417689173202,0.9969755283625917,0.03854760038616532,0.03730852594968312,0.0012390744364822043,0.0026149505496106304,0,0.87890625,0.0008620702237360115,0.015848505388345972,0.02040051906977003,0.1578557350078722,1.2241614357412895,2.5441329678196074,2.1014704115729876,True
speed_100rpm__torque_200Nm__temperature_30degC,train,100.0,200.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm200.0Nm30.0deg.csv,194400,True,-0.02964787057585283,0.0006868466942068102,-0.030334717270059642,0.030334717270059642,1.8200830362035785,0.03035126873367729,0.0010022184838855597,0.996622405450778,0.039197652328287404,0.03712221249749881,0.002075439830788596,0.002414311864311982,0,0.0,0.0010022184838855597,0.017360484391973255,0.07663404356368009,0.2331030912950749,0.08527060868266886,3.0491959019488233,2.1723719793299026,True
speed_100rpm__torque_200Nm__temperature_35degC,train,100.0,200.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm200.0Nm35.0deg.csv,194400,True,-0.029668492975157546,0.00031859683317673896,-0.029987089808334286,0.029987089808334286,1.799225388500057,0.030006230706567466,0.001071599758606955,0.9961504610004156,0.03883242826229905,0.03800401878730206,0.0008284094749969953,0.0021859646735154863,0,0.703125,0.001043340695394524,0.01853749184561704,0.04963905527812851,0.30427073533719273,0.12486843684181079,3.0030837604246607,2.2725018512053463,True
speed_100rpm__torque_300Nm__temperature_25degC,train,100.0,300.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm300.0Nm25.0deg.csv,194400,True,-0.03344219437850207,0.004302545375827866,-0.03774473975432994,0.03774473975432994,2.2646843852597964,0.03775892925792177,0.0010350650137291454,0.9963933237563872,0.03860700578005814,0.03758807671624976,0.001018929063808384,0.002943582097135581,0,0.703125,0.0009501104240892394,0.015616242389008389,0.029681436314842106,0.27560372471082495,1.217665210866613,1.8670599147931626,2.0516495694246646,True
speed_100rpm__torque_300Nm__temperature_35degC,train,100.0,300.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm300.0Nm35.0deg.csv,194401,True,-0.03392661213432048,0.005193610923126769,-0.03912022305744725,0.03912022305744725,2.347213383446835,0.039139605519342154,0.0012316120108585896,0.9948942210732874,0.03949099274056575,0.0378658213748339,0.0016251713657318492,0.002856295412627242,0,0.703125,0.0011568928995312087,0.01754965586579085,0.05819963032867869,0.45031706023746043,0.028685934938888782,2.8063517856583564,2.5111981119769506,True
speed_100rpm__torque_400Nm__temperature_25degC,train,100.0,400.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm400.0Nm25.0deg.csv,194400,True,-0.03738640303657281,0.00820595220064273,-0.04559235523721554,0.04559235523721554,2.7355413142329326,0.045605831423085795,0.001108604399442904,0.9958319887542387,0.03916030209101651,0.03761564029966798,0.001544661791348531,0.0029442015463687506,0,0.87890625,0.0009831860485901005,0.013680813428692595,0.007726120128739966,0.41433287758251325,1.2339734383464092,1.5545112580885787,2.177617892979736,True
speed_100rpm__torque_400Nm__temperature_35degC,train,100.0,400.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm400.0Nm35.0deg.csv,194400,True,-0.04465055616593083,0.0022334922092902645,-0.046884048375221095,0.046884048375221095,2.8130429025132657,0.04690503848972438,0.0014030836298859271,0.9933886472982142,0.03971744632309876,0.037959251932944194,0.001758194390154566,0.003315884907372746,0,0.87890625,0.0012379171074658618,0.020416377100738157,0.055882333366915844,0.6600750291413986,0.03214516535709137,2.422848387677258,2.5979329495576655,True
