formulation,surface,split,curve_count,mae_deg,rmse_deg,signed_bias_deg,design_rank,design_column_count,design_condition_number,linear_compliance_deg_per_nm,effective_stiffness_nm_per_deg,minimum_compliance_derivative_deg_per_nm,positive_stiffness_pass,monotonicity_pass
C0,Fw,train,675,0.017403054217398507,0.020336757120812798,1.2664766354983268e-17,1,1,1.0,0.0,0.0,0.0,False,False
C0,Fw,validation,194,0.017461288209103833,0.020366859377126966,0.00042140718560766183,1,1,1.0,0.0,0.0,0.0,False,False
C0,Fw,test,97,0.016815748641681765,0.019729523142215023,-0.004690982331450811,1,1,1.0,0.0,0.0,0.0,False,False
C1,Fw,train,675,0.002054014998354866,0.0032256442029684512,-4.605369583630279e-18,2,2,2074.373718078233,3.67051668718517e-05,27244.120793437276,3.67051668718517e-05,True,True
C1,Fw,validation,194,0.0016889096726510212,0.002288227986302747,0.0001054396156946541,2,2,2074.373718078233,3.67051668718517e-05,27244.120793437276,3.67051668718517e-05,True,True
C1,Fw,test,97,0.0016306988537678894,0.002260375172336453,0.0006691643694835793,2,2,2074.373718078233,3.67051668718517e-05,27244.120793437276,3.67051668718517e-05,True,True
C2,Fw,train,675,0.002086810193987898,0.003215367596336873,-2.680983007613341e-17,3,3,2084.0015116832487,3.6656759946957924e-05,27280.09789864115,3.631289183570146e-05,True,True
C2,Fw,validation,194,0.0017207087668323277,0.0022717955595968732,0.00010254606004022169,3,3,2084.0015116832487,3.6656759946957924e-05,27280.09789864115,3.631289183570146e-05,True,True
C2,Fw,test,97,0.0016852817201282629,0.0022906761147176934,0.0006434418283583825,3,3,2084.0015116832487,3.6656759946957924e-05,27280.09789864115,3.631289183570146e-05,True,True
C3,Fw,train,675,0.0020350441848127686,0.003195515985116705,4.676917289661678e-16,3,3,6845.525691202369,3.566810756668724e-05,28036.250539234243,3.5671240603457986e-05,True,True
C3,Fw,validation,194,0.0016458509676049924,0.002181131610683991,9.975715677045194e-05,3,3,6845.525691202369,3.566810756668724e-05,28036.250539234243,3.5671240603457986e-05,True,True
C3,Fw,test,97,0.0015795914400827359,0.0021650368690282955,0.0006415227486542132,3,3,6845.525691202369,3.566810756668724e-05,28036.250539234243,3.5671240603457986e-05,True,True
C0,Bw,train,675,0.017472791240723484,0.020324659474078917,-3.371788445157883e-18,1,1,1.0,0.0,0.0,0.0,False,False
C0,Bw,validation,194,0.017530094901876587,0.020183343853132554,-0.00032397728911920127,1,1,1.0,0.0,0.0,0.0,False,False
C0,Bw,test,97,0.017222085388167857,0.020082211745651855,0.004889822943827447,1,1,1.0,0.0,0.0,0.0,False,False
C1,Bw,train,675,0.0021414930896611543,0.00324543955053586,3.782982157982015e-18,2,2,2074.2724170320803,3.667699346275647e-05,27265.0483474183,3.667699346275647e-05,True,True
C1,Bw,validation,194,0.0019628077197454607,0.0023867087587177093,-8.668834207850112e-06,2,2,2074.2724170320803,3.667699346275647e-05,27265.0483474183,3.667699346275647e-05,True,True
C1,Bw,test,97,0.0016900640512737255,0.002173314433897318,-0.0004659611021731986,2,2,2074.2724170320803,3.667699346275647e-05,27265.0483474183,3.667699346275647e-05,True,True
C2,Bw,train,675,0.0019047079770439,0.0030324869436743718,1.3980586236020488e-17,3,3,2091.726965622219,3.6366753550897907e-05,27497.642829196386,3.475723613630722e-05,True,True
C2,Bw,validation,194,0.0016726142647577461,0.00203536383571013,8.842277889957494e-06,3,3,2091.726965622219,3.6366753550897907e-05,27497.642829196386,3.475723613630722e-05,True,True
C2,Bw,test,97,0.0015313622684150197,0.0019396617546698954,-0.0003593911017548553,3,3,2091.726965622219,3.6366753550897907e-05,27497.642829196386,3.475723613630722e-05,True,True
C3,Bw,train,675,0.002143125170117839,0.0032452604581912413,2.7410172896856643e-16,3,3,6844.9171963778435,3.675738306870799e-05,27205.418789764506,3.626380525073897e-05,True,True
C3,Bw,validation,194,0.001965606501759073,0.0023884256909169873,-9.110714230446224e-06,3,3,6844.9171963778435,3.675738306870799e-05,27205.418789764506,3.626380525073897e-05,True,True
C3,Bw,test,97,0.0016920844376791494,0.0021756501187142883,-0.0004681078040634105,3,3,6844.9171963778435,3.675738306870799e-05,27205.418789764506,3.626380525073897e-05,True,True
C5,global,train,1350,0.002097521015258384,0.0032355661920407215,5.096746070455117e-17,3,3,2933.5348632242826,3.6691080190300734e-05,27254.580536016747,3.6691080190300734e-05,True,True
C5,global,validation,388,0.0018253701203601305,0.002338296939195145,4.8506572738446235e-05,3,3,2933.5348632242826,3.6691080190300734e-05,27254.580536016747,3.6691080190300734e-05,True,True
C5,global,test,194,0.0016596802919937664,0.0022166338830082394,9.954456490247287e-05,3,3,2933.5348632242826,3.6691080190300734e-05,27254.580536016747,3.6691080190300734e-05,True,True
