condition_id,split,direction,nominal_speed_rpm,nominal_torque_nm,measured_signed_torque_nm,measured_temperature_deg_c,measured_curve_mean_te_deg,measured_curve_peak_to_peak_te_deg,low_torque_condition,direction_torque_sign_pass
speed_1000rpm__torque_0Nm__temperature_30degC,train,Fw,1000.0,0.0,-0.3756383585290839,30.264498971193415,-0.0196811575410698,0.03903001133008146,True,True
speed_1000rpm__torque_0Nm__temperature_30degC,train,Bw,1000.0,0.0,0.03114318716544064,30.018110179517517,-0.010792035373716166,0.039132513723218035,True,True
speed_1000rpm__torque_0Nm__temperature_35degC,train,Fw,1000.0,0.0,-0.14363726833917145,34.78125874485596,-0.016663067604453803,0.03940573272556295,True,True
speed_1000rpm__torque_0Nm__temperature_35degC,train,Bw,1000.0,0.0,0.05053262583518932,34.87462088477366,-0.008183692477550342,0.039351234834144266,True,True
speed_1000rpm__torque_1000Nm__temperature_25degC,train,Fw,1000.0,1000.0,-1000.0207285576887,25.41450257201646,-0.05930191776134396,0.04395253749364091,False,True
speed_1000rpm__torque_1000Nm__temperature_25degC,train,Bw,1000.0,1000.0,1000.0539931682501,25.792014917695475,0.0217937412204433,0.04185343678742813,False,True
speed_1000rpm__torque_1000Nm__temperature_30degC,train,Fw,1000.0,1000.0,-999.8249565132361,31.605246913580245,-0.05791909699580116,0.04315023517482888,False,True
speed_1000rpm__torque_1000Nm__temperature_30degC,train,Bw,1000.0,1000.0,1000.0966072197685,31.687977366255147,0.025593590867204436,0.042130115126331684,False,True
speed_1000rpm__torque_1000Nm__temperature_35degC,train,Fw,1000.0,1000.0,-999.9286067829211,35.633298868312764,-0.05840279482921288,0.0422945442710302,False,True
speed_1000rpm__torque_1000Nm__temperature_35degC,train,Bw,1000.0,1000.0,999.8713802254962,35.7168883744856,0.02722063406571068,0.04268549589957095,False,True
speed_1000rpm__torque_100Nm__temperature_25degC,train,Fw,1000.0,100.0,-100.37289982960547,25.999714506172836,-0.02660923323464124,0.03982495826969025,False,True
speed_1000rpm__torque_100Nm__temperature_25degC,train,Bw,1000.0,100.0,100.02813698913693,26.476795781893006,-0.009357614060452485,0.039675187118861144,False,True
speed_1000rpm__torque_100Nm__temperature_30degC,train,Fw,1000.0,100.0,-100.20965341432596,32.618402263374485,-0.025492118156586384,0.03919857761161166,False,True
speed_1000rpm__torque_100Nm__temperature_30degC,train,Bw,1000.0,100.0,100.00018607443998,32.86150462962962,-0.007707082089851161,0.03941255104022112,False,True
speed_1000rpm__torque_100Nm__temperature_35degC,train,Fw,1000.0,100.0,-100.14777194570613,34.75909002057613,-0.024597446389130407,0.038986674819872696,False,True
speed_1000rpm__torque_100Nm__temperature_35degC,train,Bw,1000.0,100.0,99.87712579506493,34.92594393004116,-0.007353774069948454,0.039262196252926186,False,True
speed_1000rpm__torque_1100Nm__temperature_25degC,train,Fw,1000.0,1100.0,-1099.685165948338,27.723366255144033,-0.061325495440155184,0.04425404489790484,False,True
speed_1000rpm__torque_1100Nm__temperature_25degC,train,Bw,1000.0,1100.0,1099.9324116729297,28.181461934156378,0.026016150544283717,0.04283895613628532,False,True
speed_1000rpm__torque_1200Nm__temperature_25degC,train,Fw,1000.0,1200.0,-1199.7924253405859,26.78672170781893,-0.06471441551045057,0.04443960885309191,False,True
speed_1000rpm__torque_1200Nm__temperature_25degC,train,Bw,1000.0,1200.0,1199.898414111586,27.23880401234568,0.029734544813199006,0.043526801995992924,False,True
speed_1000rpm__torque_1200Nm__temperature_30degC,train,Fw,1000.0,1200.0,-1199.5872208733617,32.28321244855967,-0.06420281882090802,0.04404599467943177,False,True
speed_1000rpm__torque_1200Nm__temperature_30degC,train,Bw,1000.0,1200.0,1199.9898006997096,32.472842078189295,0.03309153350647352,0.043824022214066186,False,True
speed_1000rpm__torque_1200Nm__temperature_35degC,train,Fw,1000.0,1200.0,-1199.511057727131,35.929689814814814,-0.0654483136122632,0.04418412326954874,False,True
speed_1000rpm__torque_1200Nm__temperature_35degC,train,Bw,1000.0,1200.0,1200.0588128911572,36.050684156378594,0.03467127786594186,0.043231414418208894,False,True
speed_1000rpm__torque_1300Nm__temperature_25degC,train,Fw,1000.0,1300.0,-1299.6717916839898,25.410885802469135,-0.06940314199996606,0.0447500279789589,False,True
speed_1000rpm__torque_1300Nm__temperature_25degC,train,Bw,1000.0,1300.0,1300.0081794875089,25.73785648148148,0.03355233510577542,0.044105493774671996,False,True
speed_1000rpm__torque_1300Nm__temperature_30degC,train,Fw,1000.0,1300.0,-1299.729789359893,31.98647909058176,-0.06906237876793506,0.04376235107528733,False,True
