condition_id,split,source_path,row_count,nominal_speed_rpm,direction_window_order,valid_row_count,transition_row_count,transition_duration_s,finite_value_pass,raw_speed_outlier_count,raw_speed_outlier_fraction,forward_valid_median_speed_rpm,backward_valid_median_speed_rpm,forward_valid_speed_mad_rpm,backward_valid_speed_mad_rpm,valid_raw_acceleration_p95_rpm_per_s,transition_raw_acceleration_p95_rpm_per_s,valid_causal_5_acceleration_p95_rpm_per_s,transition_causal_5_acceleration_p95_rpm_per_s,valid_causal_21_acceleration_p95_rpm_per_s,transition_causal_21_acceleration_p95_rpm_per_s,valid_causal_101_acceleration_p95_rpm_per_s,transition_causal_101_acceleration_p95_rpm_per_s,causal_101_valid_to_transition_p95_ratio,valid_speed_stability_pass,robust_transition_excitation_pass,validated_transient_te_target_available,load_inertia_available,commanded_drive_law_available
speed_100rpm__torque_0Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm0.0Nm25.0deg.csv,449841,100.00202806744103,Fw_then_Bw,388800,22163,5.54075,True,1,2.223007684937567e-06,100.00202806744103,-99.99604899591455,0.1312047291624765,0.1308695354964442,363.4392051026225,388.4735827643908,264.6892786398439,286.2811204790944,97.42166385763085,101.22571615949582,16.560208236796825,16.988427981294738,0.9747934449868223,True,False,False,False,False
speed_100rpm__torque_0Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm0.0Nm30.0deg.csv,447268,100.00000000097013,Fw_then_Bw,388799,19591,4.89775,True,1,2.235795988087679e-06,100.00000000097013,-99.9933333368972,0.13999999888862646,0.1266666707427504,373.3333044995675,346.6666870129984,261.3333374261515,261.3333284854775,99.04761825288233,99.04761896245873,17.161716033911034,17.16171618147655,0.9999999914014709,True,False,False,False,False
speed_100rpm__torque_0Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm0.0Nm35.0deg.csv,466563,100.00163693136224,Fw_then_Bw,388800,38885,9.72125,True,1,2.143333269033335e-06,100.00163693136224,-99.99917820096016,0.1291371978974638,0.12483446820017718,397.19066505011824,405.46079011011216,291.33264124396874,300.0051248073646,97.77290154511888,97.76227062657199,15.562122562295144,15.433323117792893,1.0083455418848686,True,False,False,False,False
speed_100rpm__torque_100Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm100.0Nm25.0deg.csv,466563,99.99917820096016,Fw_then_Bw,388800,38886,9.7215,True,1,2.143333269033335e-06,99.99917820096016,-99.99711066484451,0.11650846378567792,0.11717899663683795,355.1693322757501,350.6986880287144,251.45707130434403,245.86917608978354,88.87479418797284,88.92267960167999,14.212163371772135,14.47717686841088,0.9816943939382959,True,False,False,False,False
speed_100rpm__torque_100Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm100.0Nm30.0deg.csv,458954,99.99951346738574,Fw_then_Bw,388800,31278,7.819500000000001,True,1,2.1788675989314834e-06,99.99951346738574,-99.99532253520253,0.11684373263658188,0.12315806816332042,376.17946509277544,411.2722876015994,268.8467772304904,295.76499029994625,91.28025387900891,94.95233070282438,14.37814662991741,14.198888646490104,1.0126247897205403,True,False,False,False,False
speed_100rpm__torque_100Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm100.0Nm35.0deg.csv,459255,99.9999046010392,Fw_then_Bw,388801,31577,7.89425,True,1,2.1774395488345257e-06,99.9999046010392,-99.99705472728238,0.11684380054551013,0.12136986091113044,390.2613146541398,407.02531502273587,280.6931734085083,292.45013594625107,92.07852690349227,93.3451311928593,14.117006028016021,14.073189178293426,1.0031134982389194,True,False,False,False,False
speed_100rpm__torque_200Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm200.0Nm25.0deg.csv,466562,99.99783706734888,Fw_then_Bw,388801,38885,9.72125,True,1,2.1433378629206835e-06,99.99783706734888,-99.99638419928185,0.11650846863631159,0.1252255994283331,360.53359508514404,353.6044697587613,253.20053286850452,247.8271692991141,90.99287646154153,89.3409727584753,14.712316933810143,14.656990471451081,1.003774749152415,True,False,False,False,False
speed_100rpm__torque_200Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm200.0Nm30.0deg.csv,459253,99.99884293453458,Fw_then_Bw,388800,31576,7.894,True,1,2.1774490313617985e-06,99.99884293453458,-99.99778126560462,0.11259693322548969,0.12874593570208503,380.2029338355055,375.956068940809,269.38547976311844,263.8399995863665,92.88746651174336,91.14189179879872,14.575108247694857,14.533058620315842,1.002893377676206,True,False,False,False,False
speed_100rpm__torque_200Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm200.0Nm35.0deg.csv,457054,99.99850760020006,Fw_then_Bw,388800,29377,7.34425,True,1,2.1879252779759064e-06,99.99850760020006,-99.99638420413248,0.11678780113773968,0.12734913373908796,404.34295078739524,403.0018850850752,289.6338641643297,287.66688168052497,95.88896589616809,96.29343407494844,14.54633651394488,14.869441549387798,0.9782705332698779,True,False,False,False,False
speed_100rpm__torque_300Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm300.0Nm25.0deg.csv,466563,99.99850766325835,Fw_then_Bw,388800,38886,9.7215,True,1,2.143333269033335e-06,99.99850766325835,-99.9974459312701,0.11963773674020217,0.13824554237848474,366.1213365073195,363.21593991790735,256.7768543958664,253.14466357232845,96.01670010455337,94.07688233822853,15.951620027578883,15.9073584150633,1.0027824615099934,True,False,False,False,False
speed_100rpm__torque_300Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm300.0Nm30.0deg.csv,461995,99.99847969932793,Fw_then_Bw,388800,34317,8.57925,True,1,2.164525590103789e-06,99.99847969932793,-99.99951346738574,0.11821276469467534,0.14103952950488008,381.54429057613015,380.2032054712754,268.8467235863328,267.46090114113485,97.21943001664783,95.22906655359975,15.936126803410389,15.21246179498803,1.047570539086631,True,False,False,False,False
speed_100rpm__torque_300Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm300.0Nm35.0deg.csv,458310,99.99778120254632,Fw_then_Bw,388801,30633,7.65825,True,1,2.1819292618533306e-06,99.99778120254632,-99.99884293453458,0.12136993852134026,0.13925133195394324,406.80162298178857,395.6261168544188,289.0526890755041,279.5308828353882,100.10387429167622,97.48552413215066,15.714824937390404,15.816624329818271,0.9935637725025844,True,False,False,False,False
speed_100rpm__torque_400Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm400.0Nm25.0deg.csv,466562,99.99778120254632,Fw_then_Bw,388800,38885,9.72125,True,1,2.1433378629206835e-06,99.99778120254632,-99.99884293453458,0.1258962050390693,0.15646220223668195,371.7093107601386,375.9114149336928,259.0566962957183,263.5270386934394,103.2437602501858,104.64872462408721,17.78402106082524,18.32400247599253,0.9705314700827641,True,False,False,False,False
speed_100rpm__torque_400Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm400.0Nm30.0deg.csv,462141,99.99778126560462,Fw_then_Bw,388798,34465,8.61625,True,1,2.16384177123432e-06,99.99778126560462,-100.00091046094894,0.1277401315746829,0.15512107832667255,387.3554912085524,381.76747815065255,273.0488590151168,266.8798315525123,104.3081262282044,102.5519125518144,17.66008979615208,17.43878500884648,1.0126903787846075,True,False,False,False,False
speed_100rpm__torque_400Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm400.0Nm35.0deg.csv,458253,99.99711066969515,Fw_then_Bw,388800,30576,7.644,True,1,2.182200662079681e-06,99.99711066969515,-100.00023986503948,0.13332813493130402,0.1571326720295474,419.7659048562059,456.5904867679933,299.78154912592174,331.4763352274639,108.91683616098078,112.39732092337817,17.797298950711138,18.118191510410497,0.9822889299125148,True,False,False,False,False
speed_100rpm__torque_500Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm500.0Nm25.0deg.csv,466562,100.00130160187837,Fw_then_Bw,388800,38885,9.72125,True,1,2.1433378629206835e-06,100.00130160187837,-99.99850762930389,0.1484155363868922,0.16596163429009891,374.8386516235769,383.108792205644,263.4823505952852,269.7318696975797,113.66391100339115,115.27113403592466,20.158613974828654,20.798185910371103,0.969248667249218,True,False,False,False,False
speed_100rpm__torque_500Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm500.0Nm30.0deg.csv,460151,99.9974459312701,Fw_then_Bw,388800,32474,8.118500000000001,True,1,2.173199667065811e-06,99.9974459312701,-99.99990466167219,0.13791026625160896,0.15400347183458507,387.57916384685416,393.1672972005913,272.1995204686891,275.32870858910314,109.32129550548098,106.90518078350522,18.60284606118796,17.86590365340146,1.0412485381138947,True,False,False,False,False
