condition_id,split,source_path,row_count,source_size_bytes,filesystem_modified_at_utc,filesystem_timestamp_is_acquisition_evidence,forward_valid_row_count,backward_valid_row_count,forward_valid_segment_count,backward_valid_segment_count,valid_overlap_row_count,direction_window_order,inter_window_gap_row_count,inter_window_gap_duration_s,pre_valid_row_count,post_valid_row_count,controlled_warmup_label_available,deterministic_reset_marker_available,minimum_speed_rpm,maximum_speed_rpm,forward_valid_median_speed_rpm,backward_valid_median_speed_rpm,valid_window_direction_sign_pass,sustained_motion_segment_count,sustained_direction_reversal_count,single_reversal_pair_available,repeated_reversal_cycle_pass,repeated_major_loop_pass,minor_loop_marker_available,offline_reversal_oracle_available,real_hysteresis_training_eligible
speed_100rpm__torque_0Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm0.0Nm25.0deg.csv,449841,55479808,2026-06-23T17:44:46.966413+00:00,False,194400,194400,1,1,0,Fw_then_Bw,22163,5.54075,19439,19439,False,False,-100.8148491285586,17767262.210883204,100.00202806744103,-99.99604899591455,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_0Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm0.0Nm30.0deg.csv,447268,40846619,2026-06-23T17:45:03.347163+00:00,False,194400,194399,1,1,0,Fw_then_Bw,19591,4.89775,19439,19439,False,False,-100.79999999531235,17510244.91333333,100.00000000097013,-99.9933333368972,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_0Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm0.0Nm35.0deg.csv,466563,57828185,2026-06-23T17:45:20.630145+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38885,9.72125,19439,19439,False,False,-452.57024466991425,100.72365399779908,100.00163693136224,-99.99917820096016,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_100Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm100.0Nm25.0deg.csv,466563,56897581,2026-06-23T17:44:47.192635+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38886,9.7215,19438,19439,False,False,-100.76891633313305,19438961.578533065,99.99917820096016,-99.99711066484451,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_100Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm100.0Nm30.0deg.csv,458954,56075242,2026-06-23T17:45:03.561588+00:00,False,194400,194400,1,1,0,Fw_then_Bw,31278,7.819500000000001,19438,19438,False,False,-100.72119533530592,18678169.70173266,99.99951346738574,-99.99532253520253,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_100Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm100.0Nm35.0deg.csv,459255,56732800,2026-06-23T17:45:20.879470+00:00,False,194400,194401,1,1,0,Fw_then_Bw,31577,7.89425,19439,19438,False,False,-100.69241746289966,18708252.181503933,99.9999046010392,-99.99705472728238,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_200Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm200.0Nm25.0deg.csv,466562,57658994,2026-06-23T17:44:49.433883+00:00,False,194400,194401,1,1,0,Fw_then_Bw,38885,9.72125,19438,19438,False,False,-100.7436030001069,19438391.42538607,99.99783706734888,-99.99638419928185,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_200Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm200.0Nm30.0deg.csv,459253,56745255,2026-06-23T17:45:05.750613+00:00,False,194400,194400,1,1,0,Fw_then_Bw,31576,7.894,19439,19438,False,False,-100.83373633096926,18707357.811145462,99.99884293453458,-99.99778126560462,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_200Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm200.0Nm35.0deg.csv,457054,56493032,2026-06-23T17:45:23.265230+00:00,False,194400,194400,1,1,0,Fw_then_Bw,29377,7.34425,19439,19438,False,False,-100.809205333159,18487463.258262735,99.99850760020006,-99.99638420413248,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_300Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm300.0Nm25.0deg.csv,466563,57483193,2026-06-23T17:44:49.652040+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38886,9.7215,19439,19438,False,False,-100.83971547040467,19438003.415074203,99.99850766325835,-99.9974459312701,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_300Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm300.0Nm30.0deg.csv,461995,57090839,2026-06-23T17:45:05.964466+00:00,False,194400,194400,1,1,0,Fw_then_Bw,34317,8.57925,19439,19439,False,False,-100.733824132476,18981177.713312197,99.99847969932793,-99.99951346738574,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_300Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm300.0Nm35.0deg.csv,458310,56650618,2026-06-23T17:45:23.484450+00:00,False,194401,194400,1,1,0,Fw_then_Bw,30633,7.65825,19438,19438,False,False,-100.78640653712985,18612779.394239202,99.99778120254632,-99.99884293453458,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_400Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm400.0Nm25.0deg.csv,466562,57574605,2026-06-23T17:44:49.876443+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38885,9.72125,19438,19439,False,False,-100.91235860212085,19437527.56079654,99.99778120254632,-99.99884293453458,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_400Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm400.0Nm30.0deg.csv,462141,57041964,2026-06-23T17:45:06.192311+00:00,False,194399,194399,1,1,0,Fw_then_Bw,34465,8.61625,19439,19439,False,False,-100.75170546285032,18995380.124542866,99.99778126560462,-100.00091046094894,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_400Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm400.0Nm35.0deg.csv,458253,56134450,2026-06-23T17:45:23.702555+00:00,False,194400,194400,1,1,0,Fw_then_Bw,30576,7.644,19439,19438,False,False,-101.17270046612248,18606608.39125513,99.99711066969515,-100.00023986503948,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_500Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm500.0Nm25.0deg.csv,466562,56999889,2026-06-23T17:44:50.107019+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38885,9.72125,19439,19438,False,False,-100.93169286847115,19437333.770692326,100.00130160187837,-99.99850762930389,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_500Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm500.0Nm30.0deg.csv,460151,55970633,2026-06-23T17:45:06.403744+00:00,False,194400,194400,1,1,0,Fw_then_Bw,32474,8.118500000000001,19439,19438,False,False,-100.89799759831901,18796018.99188014,99.9974459312701,-99.99990466167219,True,2,1,True,False,False,False,True,False
