candidate_id,candidate_surface,direction_label,curve_count,raw_mae_deg,signed_offset_bias_deg,absolute_offset_error_deg,centered_mae_deg,peak_to_peak_error_pct,harmonic_amplitude_error_pct,harmonic_phase_error_deg,offset_to_raw_ratio,p90_raw_mae_deg,p90_absolute_offset_error_deg
accepted_periodic_mlp_harmonic_Bw,Bw,backward,97,0.001912113,-0.000005196,0.000612103,0.001676928,11.625378258,12.263748680,6.514344340,0.320118614,0.004178600,0.001531400
accepted_periodic_mlp_harmonic_Fw,Fw,forward,97,0.001693536,0.000185567,0.000825340,0.001390515,11.801784144,14.751960897,10.572248299,0.487347282,0.003446600,0.001750600
accepted_periodic_mlp_harmonic_global,global,backward,97,0.001836165,0.000044134,0.000612979,0.001622227,8.972129588,12.338493052,5.874378299,0.333836773,0.004529400,0.001287400
accepted_periodic_mlp_harmonic_global,global,forward,97,0.001631619,0.000020021,0.000759959,0.001329155,9.733192031,14.816016330,7.565239433,0.465769870,0.003543800,0.001359800
wave52r_promotion_h08_bw_seed_161803,Bw,backward,97,0.001932701,0.000058577,0.000703588,0.001657959,8.464419588,5.856456041,4.259230608,0.364043697,0.004439400,0.001498200
wave52r_promotion_h08_bw_seed_271828,Bw,backward,97,0.001995216,0.000027485,0.000760454,0.001705546,8.009367134,10.625917773,6.990961278,0.381138393,0.004392800,0.001512800
wave52r_promotion_h08_bw_seed_314159,Bw,backward,97,0.001987371,-0.000001464,0.000747814,0.001678526,7.605192876,6.468946753,4.945342289,0.376283232,0.004472200,0.001551800
wave52r_promotion_h08_fw_seed_161803,Fw,forward,97,0.001687660,0.000297515,0.000861660,0.001319608,7.958770093,5.931030031,4.713398876,0.510564864,0.003343200,0.001850600
wave52r_promotion_h08_fw_seed_271828,Fw,forward,97,0.001691526,0.000139691,0.000824907,0.001365732,8.498374773,11.316240155,9.245233495,0.487670498,0.003314600,0.001581400
wave52r_promotion_h08_fw_seed_314159,Fw,forward,97,0.001694485,0.000110361,0.000834711,0.001363897,8.022708979,10.375269876,4.087762227,0.492604873,0.003377800,0.001748000
wave52r_promotion_h08_global_seed_161803,global,backward,97,0.001971866,-0.000125351,0.000737722,0.001672351,8.463587340,5.145058082,4.609412526,0.374123626,0.004418400,0.001430000
wave52r_promotion_h08_global_seed_161803,global,forward,97,0.001765227,0.000220309,0.000950804,0.001354969,7.893137588,6.027852206,5.945097608,0.538630006,0.003328000,0.002024400
wave52r_promotion_h08_global_seed_271828,global,backward,97,0.001968433,0.000005784,0.000708402,0.001698742,7.713571082,10.147034165,6.378011124,0.359881218,0.004435600,0.001409200
wave52r_promotion_h08_global_seed_271828,global,forward,97,0.001766526,0.000271680,0.000937392,0.001356216,7.712703670,15.062842423,6.743393443,0.530641424,0.003434400,0.002011800
wave52r_promotion_h08_global_seed_314159,global,backward,97,0.001981546,-0.000021175,0.000731216,0.001689577,7.669570814,5.730340093,3.449109289,0.369013059,0.004430000,0.001544000
wave52r_promotion_h08_global_seed_314159,global,forward,97,0.001759928,0.000341753,0.000941979,0.001344113,8.459202196,5.562321784,4.561786309,0.535237504,0.003401600,0.001955200
