surface,random_seed,direction_label,condition_count,mean_anchor_a0_deg,mean_abs_anchor_a0_deg,mean_correction_a0_deg,mean_abs_correction_a0_deg,mean_predicted_a0_deg,mean_signed_a0_error_deg,mean_absolute_a0_error_deg,p90_absolute_a0_error_deg
Bw,161803,backward,97,0.017042596,0.020055942,0.000095335,0.000242480,0.017137931,0.000058649,0.000704017,0.001498724
Bw,271828,backward,97,0.017042596,0.020055942,0.000064242,0.000204127,0.017106838,0.000027557,0.000760912,0.001512887
Bw,314159,backward,97,0.017042596,0.020055942,0.000035266,0.000173502,0.017077862,-0.000001420,0.000748299,0.001551800
Fw,161803,forward,97,-0.050270018,0.050270018,-0.000003609,0.000291271,-0.050273628,0.000297673,0.000861809,0.001851056
Fw,271828,forward,97,-0.050270018,0.050270018,-0.000161497,0.000433576,-0.050431516,0.000139785,0.000824941,0.001584540
Fw,314159,forward,97,-0.050270018,0.050270018,-0.000190811,0.000369040,-0.050460829,0.000110471,0.000834846,0.001758580
global,161803,backward,97,0.017042596,0.020055942,-0.000088564,0.000138380,0.016954032,-0.000125250,0.000738197,0.001430564
global,161803,forward,97,-0.050270018,0.050270018,-0.000080911,0.000118167,-0.050350930,0.000220371,0.000950944,0.002024255
global,271828,backward,97,0.017042596,0.020055942,0.000042579,0.000132267,0.017085175,0.000005893,0.000708790,0.001409513
global,271828,forward,97,-0.050270018,0.050270018,-0.000029493,0.000107093,-0.050299511,0.000271789,0.000937445,0.002012832
global,314159,backward,97,0.017042596,0.020055942,0.000015621,0.000091654,0.017058217,-0.000021065,0.000731626,0.001543721
global,314159,forward,97,-0.050270018,0.050270018,0.000040592,0.000111620,-0.050229426,0.000341874,0.000942149,0.001954635
