surface,random_seed,direction_label,band_name,value_count,mean_anchor_amplitude_deg,mean_correction_amplitude_deg,mean_predicted_amplitude_deg,correction_to_anchor_ratio
Bw,161803,backward,high_ripple,679,0.000200821,0.000219094,0.000350908,1.090990136
Bw,161803,backward,low_orders,194,0.000457187,0.000219284,0.000639275,0.479637054
Bw,161803,backward,order_1,97,0.017146035,0.000080986,0.017128800,0.004723286
Bw,161803,backward,reducer_middle,679,0.000392881,0.000137963,0.000446330,0.351156698
Bw,271828,backward,high_ripple,679,0.000200821,0.000202911,0.000356068,1.010404155
Bw,271828,backward,low_orders,194,0.000457187,0.000256091,0.000683270,0.560144561
Bw,271828,backward,order_1,97,0.017146036,0.000074908,0.017162944,0.004368820
Bw,271828,backward,reducer_middle,679,0.000392881,0.000143683,0.000439980,0.365715549
Bw,314159,backward,high_ripple,679,0.000200821,0.000208961,0.000373302,1.040530764
Bw,314159,backward,low_orders,194,0.000457187,0.000202651,0.000621160,0.443256422
Bw,314159,backward,order_1,97,0.017146035,0.000088618,0.017203215,0.005168432
Bw,314159,backward,reducer_middle,679,0.000392881,0.000134470,0.000434119,0.342266833
Fw,161803,forward,high_ripple,679,0.000186144,0.000212331,0.000301650,1.140682435
Fw,161803,forward,low_orders,194,0.000383895,0.000168789,0.000487095,0.439675931
Fw,161803,forward,order_1,97,0.017165595,0.000093473,0.017215091,0.005445347
Fw,161803,forward,reducer_middle,679,0.000433850,0.000118878,0.000536394,0.274006695
Fw,271828,forward,high_ripple,679,0.000186144,0.000232072,0.000308130,1.246734894
Fw,271828,forward,low_orders,194,0.000383895,0.000231613,0.000571901,0.603323736
Fw,271828,forward,order_1,97,0.017165595,0.000150885,0.017274805,0.008789971
Fw,271828,forward,reducer_middle,679,0.000433850,0.000143788,0.000501668,0.331423403
Fw,314159,forward,high_ripple,679,0.000186144,0.000218535,0.000319228,1.174009706
Fw,314159,forward,low_orders,194,0.000383895,0.000166067,0.000533664,0.432583439
Fw,314159,forward,order_1,97,0.017165595,0.000079343,0.017112405,0.004622214
Fw,314159,forward,reducer_middle,679,0.000433850,0.000148207,0.000550287,0.341609618
global,161803,backward,high_ripple,679,0.000318968,0.000167581,0.000427700,0.525385571
global,161803,backward,low_orders,194,0.000457187,0.000195952,0.000582218,0.428603298
global,161803,backward,order_1,97,0.017146035,0.000086950,0.017065800,0.005071116
global,161803,backward,reducer_middle,679,0.000274734,0.000085306,0.000336377,0.310501830
global,161803,forward,high_ripple,679,0.000186144,0.000182719,0.000322362,0.981600307
global,161803,forward,low_orders,194,0.000383895,0.000172494,0.000487823,0.449326061
global,161803,forward,order_1,97,0.017165595,0.000044595,0.017126475,0.002597918
global,161803,forward,reducer_middle,679,0.000433850,0.000110564,0.000512242,0.254843645
global,271828,backward,high_ripple,679,0.000318968,0.000205634,0.000476570,0.644684980
global,271828,backward,low_orders,194,0.000457187,0.000231548,0.000623647,0.506462051
global,271828,backward,order_1,97,0.017146035,0.000052725,0.017127746,0.003075053
global,271828,backward,reducer_middle,679,0.000274734,0.000108895,0.000355875,0.396364694
global,271828,forward,high_ripple,679,0.000186144,0.000158781,0.000295210,0.853001653
global,271828,forward,low_orders,194,0.000383895,0.000222498,0.000520470,0.579580807
global,271828,forward,order_1,97,0.017165595,0.000116316,0.017216091,0.006776090
global,271828,forward,reducer_middle,679,0.000433850,0.000100384,0.000503094,0.231380168
global,314159,backward,high_ripple,679,0.000318968,0.000150593,0.000439579,0.472126787
global,314159,backward,low_orders,194,0.000457187,0.000185408,0.000586982,0.405540566
global,314159,backward,order_1,97,0.017146035,0.000053106,0.017103637,0.003097270
global,314159,backward,reducer_middle,679,0.000274734,0.000088199,0.000346599,0.321035075
global,314159,forward,high_ripple,679,0.000186144,0.000152981,0.000306626,0.821843582
global,314159,forward,low_orders,194,0.000383895,0.000168313,0.000512166,0.438435177
global,314159,forward,order_1,97,0.017165595,0.000065294,0.017105670,0.003803761
global,314159,forward,reducer_middle,679,0.000433850,0.000098557,0.000502717,0.227167622
