surface,direction_label,factor_name,factor_value,condition_count,mean_raw_delta_deg,mean_offset_delta_deg,mean_shape_delta_deg
Fw,forward,speed_rpm,100.000000000,9,-0.000075667,-0.000072000,-0.000048333
Fw,forward,speed_rpm,200.000000000,4,-0.000118250,0.000020500,-0.000082000
Fw,forward,speed_rpm,300.000000000,4,-0.000071250,-0.000050000,-0.000138000
Fw,forward,speed_rpm,400.000000000,10,0.000084600,0.000160600,-0.000009300
Fw,forward,speed_rpm,500.000000000,7,-0.000204286,-0.000331286,-0.000001857
Fw,forward,speed_rpm,600.000000000,9,0.000203111,0.000289778,-0.000070000
Fw,forward,speed_rpm,700.000000000,7,-0.000127000,-0.000119000,-0.000049286
Fw,forward,speed_rpm,800.000000000,6,0.000203500,0.000377833,-0.000045000
Fw,forward,speed_rpm,900.000000000,4,0.000151750,0.000212000,-0.000047250
Fw,forward,speed_rpm,1000.000000000,4,0.000095500,0.000021750,0.000099500
Fw,forward,speed_rpm,1100.000000000,6,-0.000148667,0.000031333,-0.000140333
Fw,forward,speed_rpm,1300.000000000,3,0.000554000,0.000885000,0.000096667
Fw,forward,speed_rpm,1400.000000000,4,0.000166500,0.000239250,-0.000001750
Fw,forward,speed_rpm,1500.000000000,4,0.000422000,0.000534750,0.000064500
Fw,forward,speed_rpm,1600.000000000,5,-0.000492600,-0.000582400,-0.000349600
Fw,forward,speed_rpm,1700.000000000,7,-0.000349000,-0.000338857,-0.000359286
Fw,forward,speed_rpm,1800.000000000,4,0.000021500,-0.000157500,0.000035750
Fw,forward,torque_nm,0.000000000,5,0.000358200,0.000129000,0.000077200
Fw,forward,torque_nm,100.000000000,8,-0.000147500,-0.000102875,-0.000169375
Fw,forward,torque_nm,200.000000000,7,0.000364286,0.000698714,-0.000075857
Fw,forward,torque_nm,300.000000000,9,0.000423889,0.000653111,0.000023000
Fw,forward,torque_nm,400.000000000,3,0.000329667,0.000373667,0.000021000
Fw,forward,torque_nm,500.000000000,5,0.000257000,0.000154200,-0.000062400
Fw,forward,torque_nm,600.000000000,7,-0.000091286,-0.000017857,-0.000106571
Fw,forward,torque_nm,700.000000000,7,-0.000111143,-0.000077143,-0.000069857
Fw,forward,torque_nm,800.000000000,6,-0.000076667,-0.000101500,-0.000051667
Fw,forward,torque_nm,900.000000000,7,0.000089571,0.000060714,0.000096857
Fw,forward,torque_nm,1000.000000000,6,-0.000212167,-0.000224333,-0.000072167
Fw,forward,torque_nm,1100.000000000,2,-0.000383000,-0.000312500,0.000062500
Fw,forward,torque_nm,1200.000000000,5,-0.000207200,-0.000152800,-0.000194600
Fw,forward,torque_nm,1300.000000000,1,0.000085000,0.000437000,-0.000049000
Fw,forward,torque_nm,1400.000000000,6,0.000106000,0.000198167,0.000024000
Fw,forward,torque_nm,1500.000000000,1,-0.000239000,-0.000479000,-0.000012000
Fw,forward,torque_nm,1600.000000000,5,-0.000712200,-0.000915400,-0.000245200
Fw,forward,torque_nm,1700.000000000,3,-0.000587667,-0.000496333,-0.000389333
Fw,forward,torque_nm,1800.000000000,4,-0.000163250,-0.000114250,-0.000219250
Fw,forward,oil_temperature_deg,25.000000000,25,0.000016880,0.000114880,-0.000081040
Fw,forward,oil_temperature_deg,30.000000000,38,-0.000022632,0.000009842,-0.000066842
Fw,forward,oil_temperature_deg,35.000000000,34,-0.000003882,0.000008147,-0.000068000
Bw,backward,speed_rpm,100.000000000,9,0.000414556,0.000376667,0.000112556
Bw,backward,speed_rpm,200.000000000,4,0.000285500,0.000267750,0.000027000
Bw,backward,speed_rpm,300.000000000,4,0.000111500,0.000070250,0.000025500
Bw,backward,speed_rpm,400.000000000,10,-0.000041100,-0.000031600,0.000027500
Bw,backward,speed_rpm,500.000000000,7,-0.000021571,-0.000046714,0.000056571
Bw,backward,speed_rpm,600.000000000,9,0.000097111,0.000103444,0.000086000
Bw,backward,speed_rpm,700.000000000,7,-0.000099286,-0.000356286,0.000086857
Bw,backward,speed_rpm,800.000000000,6,0.000035167,-0.000070500,0.000061500
Bw,backward,speed_rpm,900.000000000,4,0.000225000,0.000493250,0.000007500
Bw,backward,speed_rpm,1000.000000000,4,-0.000205500,-0.000258750,-0.000110000
Bw,backward,speed_rpm,1100.000000000,6,-0.000163167,-0.000066333,-0.000164000
Bw,backward,speed_rpm,1300.000000000,3,0.000046333,0.000088667,0.000016667
Bw,backward,speed_rpm,1400.000000000,4,0.000009750,0.000095500,-0.000022500
Bw,backward,speed_rpm,1500.000000000,4,0.000333250,0.000071250,0.000346000
Bw,backward,speed_rpm,1600.000000000,5,-0.000337800,0.000641000,-0.000536600
Bw,backward,speed_rpm,1700.000000000,7,-0.000653429,0.000171857,-0.000748000
