surface,direction_label,metric_name,seed_count,mean_value,standard_deviation,minimum_value,maximum_value,coefficient_of_variation
Bw,backward,raw_mae_deg,3,0.001971763,0.000027806,0.001932701,0.001995216,0.014102092
Bw,backward,absolute_offset_error_deg,3,0.000737285,0.000024380,0.000703588,0.000760454,0.033067377
Bw,backward,centered_mae_deg,3,0.001680677,0.000019487,0.001657959,0.001705546,0.011594749
Fw,forward,raw_mae_deg,3,0.001691223,0.000002794,0.001687660,0.001694485,0.001652285
Fw,forward,absolute_offset_error_deg,3,0.000840426,0.000015539,0.000824907,0.000861660,0.018489206
Fw,forward,centered_mae_deg,3,0.001349746,0.000021324,0.001319608,0.001365732,0.015798209
global,backward,raw_mae_deg,3,0.001973948,0.000005552,0.001968433,0.001981546,0.002812813
global,backward,absolute_offset_error_deg,3,0.000725780,0.000012572,0.000708402,0.000737722,0.017321790
global,backward,centered_mae_deg,3,0.001686890,0.000010941,0.001672351,0.001698742,0.006485702
global,forward,raw_mae_deg,3,0.001763893,0.000002854,0.001759928,0.001766526,0.001617916
global,forward,absolute_offset_error_deg,3,0.000943392,0.000005566,0.000937392,0.000950804,0.005899892
global,forward,centered_mae_deg,3,0.001351766,0.000005435,0.001344113,0.001356216,0.004020918
