surface,direction_label,source_file_path,speed_rpm,torque_nm,oil_temperature_deg,h08_candidate_id,incumbent_candidate_id,raw_delta_deg,offset_delta_deg,shape_delta_deg,peak_to_peak_delta_pct
global,forward,data/polished_dataset/forward/30degree/400rpm/400.0rpm0.0nm30.0deg.csv,400.000000000,0.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.002709000,0.003138000,0.000007000,-1.398777000
global,forward,data/polished_dataset/forward/35degree/800rpm/800.0rpm0.0nm35.0deg.csv,800.000000000,0.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.002052000,0.002324000,-0.000089000,-4.452725000
Bw,backward,data/polished_dataset/backward/25degree/1600rpm/1600.0rpm0.0nm25.0deg.csv,1600.000000000,0.000000000,25.000000000,wave52r_promotion_h08_bw_seed_161803,accepted_periodic_mlp_harmonic_Bw,0.000879000,0.002253000,-0.000003000,-9.193209000
global,forward,data/polished_dataset/forward/25degree/1600rpm/1600.0rpm0.0nm25.0deg.csv,1600.000000000,0.000000000,25.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000693000,0.001974000,0.000160000,-5.990318000
global,backward,data/polished_dataset/backward/25degree/1600rpm/1600.0rpm0.0nm25.0deg.csv,1600.000000000,0.000000000,25.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001081000,0.001798000,0.000532000,-6.818044000
global,forward,data/polished_dataset/forward/35degree/100rpm/100.0rpm500.0nm35.0deg.csv,100.000000000,500.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001544000,0.001662000,0.000141000,-1.441589000
global,backward,data/polished_dataset/backward/30degree/100rpm/100.0rpm100.0nm30.0deg.csv,100.000000000,100.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001623000,0.001649000,0.000240000,-0.376392000
Fw,forward,data/polished_dataset/forward/35degree/600rpm/600.0rpm200.0nm35.0deg.csv,600.000000000,200.000000000,35.000000000,wave52r_promotion_h08_fw_seed_161803,accepted_periodic_mlp_harmonic_Fw,0.001194000,0.001553000,-0.000217000,0.377419000
global,backward,data/polished_dataset/backward/35degree/100rpm/100.0rpm100.0nm35.0deg.csv,100.000000000,100.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001467000,0.001511000,0.000099000,0.836704000
Fw,forward,data/polished_dataset/forward/30degree/400rpm/400.0rpm0.0nm30.0deg.csv,400.000000000,0.000000000,30.000000000,wave52r_promotion_h08_fw_seed_161803,accepted_periodic_mlp_harmonic_Fw,0.001498000,0.001500000,-0.000035000,-1.437856000
global,forward,data/polished_dataset/forward/30degree/900rpm/900.0rpm0.0nm30.0deg.csv,900.000000000,0.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000976000,0.001416000,0.000021000,-2.227965000
global,backward,data/polished_dataset/backward/30degree/200rpm/200.0rpm100.0nm30.0deg.csv,200.000000000,100.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001378000,0.001392000,0.000079000,0.131853000
global,forward,data/polished_dataset/forward/30degree/100rpm/100.0rpm300.0nm30.0deg.csv,100.000000000,300.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001134000,0.001284000,0.000047000,-0.511552000
global,forward,data/polished_dataset/forward/35degree/600rpm/600.0rpm200.0nm35.0deg.csv,600.000000000,200.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001192000,0.001270000,0.000030000,-1.300220000
Fw,forward,data/polished_dataset/forward/35degree/1300rpm/1300.0rpm300.0nm35.0deg.csv,1300.000000000,300.000000000,35.000000000,wave52r_promotion_h08_fw_seed_161803,accepted_periodic_mlp_harmonic_Fw,0.000590000,0.001257000,0.000076000,-3.331495000
global,forward,data/polished_dataset/forward/35degree/1700rpm/1700.0rpm1800.0nm35.0deg.csv,1700.000000000,1800.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,-0.000169000,0.001253000,-0.000362000,-7.029982000
Bw,backward,data/polished_dataset/backward/25degree/1700rpm/1700.0rpm1600.0nm25.0deg.csv,1700.000000000,1600.000000000,25.000000000,wave52r_promotion_h08_bw_seed_161803,accepted_periodic_mlp_harmonic_Bw,-0.000483000,0.001238000,-0.000781000,-5.088281000
Fw,forward,data/polished_dataset/forward/35degree/600rpm/600.0rpm500.0nm35.0deg.csv,600.000000000,500.000000000,35.000000000,wave52r_promotion_h08_fw_seed_161803,accepted_periodic_mlp_harmonic_Fw,0.001174000,0.001219000,0.000034000,-3.793986000
global,forward,data/polished_dataset/forward/30degree/1700rpm/1700.0rpm200.0nm30.0deg.csv,1700.000000000,200.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000021000,0.001167000,-0.000170000,-1.198707000
Fw,forward,data/polished_dataset/forward/30degree/100rpm/100.0rpm300.0nm30.0deg.csv,100.000000000,300.000000000,30.000000000,wave52r_promotion_h08_fw_seed_161803,accepted_periodic_mlp_harmonic_Fw,0.000959000,0.001166000,0.000079000,0.052708000
global,forward,data/polished_dataset/forward/30degree/100rpm/100.0rpm400.0nm30.0deg.csv,100.000000000,400.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001023000,0.001131000,0.000013000,-0.088041000
global,backward,data/polished_dataset/backward/35degree/300rpm/300.0rpm100.0nm35.0deg.csv,300.000000000,100.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001129000,0.001129000,0.000118000,1.069788000
global,forward,data/polished_dataset/forward/35degree/1700rpm/1700.0rpm500.0nm35.0deg.csv,1700.000000000,500.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,-0.000068000,0.001112000,-0.000159000,-2.660489000
global,forward,data/polished_dataset/forward/30degree/300rpm/300.0rpm200.0nm30.0deg.csv,300.000000000,200.000000000,30.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000780000,0.001097000,0.000022000,0.471139000
global,forward,data/polished_dataset/forward/25degree/500rpm/500.0rpm1700.0nm25.0deg.csv,500.000000000,1700.000000000,25.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000722000,0.001096000,0.000012000,-2.010675000
global,forward,data/polished_dataset/forward/25degree/600rpm/600.0rpm1700.0nm25.0deg.csv,600.000000000,1700.000000000,25.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.001031000,0.001092000,0.000027000,-2.100554000
Bw,backward,data/polished_dataset/backward/35degree/100rpm/100.0rpm900.0nm35.0deg.csv,100.000000000,900.000000000,35.000000000,wave52r_promotion_h08_bw_seed_161803,accepted_periodic_mlp_harmonic_Bw,0.000968000,0.001060000,0.000056000,0.847819000
Bw,backward,data/polished_dataset/backward/30degree/100rpm/100.0rpm100.0nm30.0deg.csv,100.000000000,100.000000000,30.000000000,wave52r_promotion_h08_bw_seed_161803,accepted_periodic_mlp_harmonic_Bw,0.000944000,0.000949000,0.000146000,0.991145000
global,forward,data/polished_dataset/forward/35degree/100rpm/100.0rpm600.0nm35.0deg.csv,100.000000000,600.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000705000,0.000936000,0.000134000,-1.493894000
global,backward,data/polished_dataset/backward/35degree/1500rpm/1500.0rpm1400.0nm35.0deg.csv,1500.000000000,1400.000000000,35.000000000,wave52r_promotion_h08_global_seed_314159,accepted_periodic_mlp_harmonic_global,0.000109000,0.000917000,-0.000116000,-0.229164000
