rank,candidate_id,candidate_family,candidate_source_label,candidate_surface,valid_direction_list,curve_count,mean_percentage_error_pct,mean_curve_mae_deg,mean_signed_curve_mean_error_deg,mean_absolute_curve_mean_error_deg,mean_centered_curve_mae_deg,mean_peak_to_peak_error_pct,mean_residual_peak_to_peak_pct,mean_derivative_rmse_deg_per_deg,mean_residual_smoothness_deg_per_deg2,mean_residual_lag1_autocorrelation,mean_closure_mismatch_deg,mean_stitched_boundary_mismatch_deg,mean_harmonic_amplitude_error_pct,mean_harmonic_phase_error_deg,max_harmonic_amplitude_error_pct,max_harmonic_phase_error_deg,diagnostic_score
1,wave52r_promotion_k01_fw_seed_271828,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,Fw,forward,97,2.681389,0.001358,0.000057,0.000491,0.001209,6.924540,16.473794,0.014806,1.105993,0.970644,0.000875,0.000663,5.991485,2.770279,95.699384,47.328502,3.567116
2,wave52r_promotion_k01_global_seed_271828,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,global,"backward, forward",194,2.893177,0.001464,0.000024,0.000577,0.001225,6.472221,16.995683,0.015095,1.127325,0.965171,0.000872,0.000779,4.838683,2.829332,93.123956,38.304923,3.669466
3,wave52r_promotion_k01_bw_seed_271828,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,Bw,backward,97,3.018482,0.001587,0.000190,0.000564,0.001344,8.100626,17.336405,0.015630,1.148557,0.957828,0.000869,0.000888,3.690767,2.523682,47.997031,37.074470,3.670047
4,wave52r_promotion_k01_fw_seed_314159,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,Fw,forward,97,2.785613,0.001411,0.000035,0.000508,0.001262,7.836666,17.175440,0.014891,1.106019,0.972960,0.000876,0.000662,5.747123,3.840578,84.397069,67.196452,3.701269
5,wave52r_promotion_k01_global_seed_314159,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,global,"backward, forward",194,3.064424,0.001591,0.000040,0.000569,0.001372,8.106238,17.680179,0.015419,1.127342,0.966791,0.000880,0.000781,4.291357,2.622167,94.409026,37.936777,3.778854
6,wave52r_promotion_k01_bw_seed_161803,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,Bw,backward,97,3.064198,0.001632,0.000171,0.000511,0.001428,8.145979,18.382591,0.015802,1.148632,0.961178,0.000883,0.000873,4.775704,2.678780,41.142469,40.709857,3.833723
7,wave52r_promotion_k01_bw_seed_314159,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,Bw,backward,97,3.195788,0.001707,0.000148,0.000572,0.001466,7.773517,18.226420,0.015858,1.148672,0.960486,0.000886,0.000872,3.497964,2.738321,44.855183,41.913231,3.841082
8,wave52r_promotion_k01_global_seed_161803,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,global,"backward, forward",194,3.105528,0.001617,0.000177,0.000603,0.001368,7.683125,17.328381,0.015413,1.127363,0.965688,0.000880,0.000781,5.486312,3.020697,92.643527,37.132830,3.959325
9,wave52r_promotion_k01_fw_seed_161803,wave52r_promotion_k01,wave52r_offline_leader_cross_surface_promotion,Fw,forward,97,3.175951,0.001566,0.000349,0.000674,0.001270,7.813405,17.201814,0.014905,1.106042,0.972783,0.000876,0.000659,6.900554,3.083149,94.554679,59.714892,4.169210
10,wave52r_promotion_h08_fw_seed_161803,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,97,3.477261,0.001688,0.000298,0.000862,0.001320,7.958770,18.312679,0.014914,1.106052,0.979793,0.000872,0.000670,5.931030,4.713399,99.889896,96.451158,4.455170
11,wave52r_promotion_h08_global_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,global,"backward, forward",194,3.730638,0.001871,0.000160,0.000837,0.001517,8.064387,20.023978,0.015556,1.127406,0.979475,0.000868,0.000776,5.646331,4.005448,99.892815,96.191515,4.651100
12,wave52r_promotion_h08_bw_seed_161803,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Bw,backward,97,3.709500,0.001933,0.000059,0.000704,0.001658,8.464420,20.988719,0.016123,1.148754,0.976724,0.000865,0.000876,5.856456,4.259231,37.254683,39.360516,4.669337
13,wave52r_promotion_h08_global_seed_161803,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,global,"backward, forward",194,3.726649,0.001869,0.000047,0.000844,0.001514,8.178362,19.966052,0.015557,1.127425,0.979484,0.000868,0.000775,5.586455,5.277255,99.890010,96.287389,4.704723
14,wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,97,3.483289,0.001694,0.000110,0.000835,0.001364,8.022709,19.275525,0.014955,1.106045,0.982002,0.000873,0.000669,10.375270,4.087762,99.889651,96.160822,4.874750
15,accepted_periodic_gru_sequence_Fw,periodic_gru_sequence,accepted_non_pinn_incumbent,Fw,forward,97,3.278427,0.001618,0.000231,0.000690,0.001382,8.443678,19.518172,0.014968,1.105992,0.981839,0.000892,0.000704,12.186769,5.083881,101.836165,111.158238,4.900974
16,wave52r_promotion_h08_bw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Bw,backward,97,3.848769,0.001987,-0.000002,0.000748,0.001679,7.605193,21.339602,0.016143,1.148791,0.977981,0.000866,0.000879,6.468947,4.945342,32.024887,41.971045,4.904360
17,accepted_periodic_gru_sequence_Bw,periodic_gru_sequence,accepted_non_pinn_incumbent,Bw,backward,97,3.494409,0.001837,-0.000236,0.000606,0.001649,6.640831,21.329877,0.016085,1.148455,0.977536,0.001313,0.001229,11.116268,5.991176,85.924676,151.717784,5.066444
18,wave52r_promotion_h08_fw_seed_271828,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,97,3.480340,0.001692,0.000140,0.000825,0.001366,8.498375,19.392147,0.014951,1.106057,0.982248,0.000869,0.000669,11.316240,9.245234,99.891044,96.471680,5.223736
19,accepted_periodic_mlp_harmonic_global,periodic_mlp_harmonic,accepted_non_pinn_incumbent,global,"backward, forward",194,3.384645,0.001734,0.000032,0.000686,0.001476,9.352661,19.305384,0.015521,1.127171,0.976467,0.000869,0.000787,13.577255,6.719809,242.597902,129.588105,5.233566
20,accepted_periodic_mlp_harmonic_Bw,periodic_mlp_harmonic,accepted_non_pinn_incumbent,Bw,backward,97,3.581163,0.001912,-0.000005,0.000612,0.001677,11.625378,20.675283,0.016237,1.148554,0.974814,0.000861,0.000888,12.263749,6.514344,172.058492,83.007760,5.295624
