candidate_id,candidate_family,candidate_source_label,candidate_surface,direction_label,source_file_path,speed_rpm,torque_nm,oil_temperature_deg,curve_mae_deg,curve_rmse_deg,signed_curve_mean_error_deg,absolute_curve_mean_error_deg,centered_curve_mae_deg,mean_percentage_error_pct,truth_peak_to_peak_deg,predicted_peak_to_peak_deg,peak_to_peak_error_pct,residual_peak_to_peak_pct,derivative_rmse_deg_per_deg,residual_smoothness_deg_per_deg2,residual_lag1_autocorrelation,closure_mismatch_deg,mean_harmonic_amplitude_error_pct,mean_harmonic_phase_error_deg,max_harmonic_amplitude_error_pct,max_harmonic_phase_error_deg
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,0.000606,0.000746,-0.000344,0.000344,0.000532,1.560098,0.038862,0.038273,1.517096,11.381081,0.011806,1.759382,0.999398,0.000008,20.389174,3.385664,40.887675,8.511880
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,0.000553,0.000695,0.000045,0.000045,0.000553,1.427494,0.038748,0.038827,0.204389,13.096496,0.014794,1.885577,0.999168,0.000417,25.914580,1.033497,60.937229,2.887273
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,0.001348,0.001483,0.001342,0.001342,0.000509,3.370601,0.039986,0.038842,2.861554,10.587929,0.014446,3.162089,0.998993,0.000425,18.090256,2.499077,30.896058,6.392298
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,0.001295,0.001432,0.001289,0.001289,0.000505,3.208068,0.040356,0.039131,3.035769,10.089943,0.015085,3.876369,0.998865,0.000910,7.287062,2.569340,14.434491,5.128684
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,0.001230,0.001359,0.001227,0.001227,0.000473,3.038375,0.040494,0.040043,1.115269,10.025337,0.015904,5.126210,0.998505,0.000289,25.394087,0.801028,53.273020,1.179849
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,0.000533,0.000670,0.000296,0.000296,0.000482,1.293529,0.041225,0.040349,2.124737,10.196517,0.019562,6.217181,0.997894,0.000505,24.138613,3.071786,50.231868,7.775614
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,0.000567,0.000704,-0.000363,0.000363,0.000480,1.346513,0.042076,0.041342,1.744229,11.139310,0.024697,9.164359,0.996554,0.000443,37.066251,25.782393,99.889651,96.160822
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm1000.0Nm30.0deg.csv,100.000000,1000.000000,30.000000,0.000637,0.000790,0.000432,0.000432,0.000527,1.502055,0.042379,0.040918,3.448497,11.259040,0.027438,9.381755,0.996538,0.000145,12.098518,5.507830,20.091747,12.841669
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm1100.0Nm30.0deg.csv,100.000000,1100.000000,30.000000,0.000844,0.000999,0.000766,0.000766,0.000514,1.939742,0.043533,0.041362,4.988497,10.518221,0.029621,10.881196,0.995632,0.000460,4.621621,1.459017,11.236610,3.431999
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\200rpm\200.0rpm100.0Nm30.0deg.csv,200.000000,100.000000,30.000000,0.000652,0.000815,0.000329,0.000329,0.000599,1.640068,0.039770,0.038206,3.934425,13.238911,0.012880,0.850280,0.997880,0.000461,19.097492,2.257297,39.184346,5.017039
