candidate_id,candidate_family,candidate_source_label,candidate_surface,direction_label,source_file_path,speed_rpm,torque_nm,oil_temperature_deg,harmonic_order,truth_amplitude_deg,predicted_amplitude_deg,amplitude_error_pct,phase_error_deg
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,1,0.017209,0.017166,0.251781,0.060608
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,2,0.000210,0.000124,40.887675,8.511880
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,3,0.000622,0.000747,20.028067,1.584504
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,4,0.000057,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,5,0.000033,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,6,0.000057,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,8,0.000077,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,10,0.000017,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,12,0.000018,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm100.0Nm30.0deg.csv,100.000000,100.000000,30.000000,19,0.000006,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,1,0.017229,0.017210,0.105677,0.124615
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,2,0.000199,0.000078,60.937229,2.887273
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,3,0.000616,0.000719,16.700834,0.088602
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,4,0.000055,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,5,0.000044,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,6,0.000063,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,8,0.000070,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,10,0.000005,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,12,0.000027,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm100.0Nm35.0deg.csv,100.000000,100.000000,35.000000,19,0.000014,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,1,0.017182,0.017150,0.184256,0.085032
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,2,0.000204,0.000141,30.896058,1.019902
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,3,0.000599,0.000738,23.190454,6.392298
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,4,0.000046,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,5,0.000028,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,6,0.000053,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,8,0.000096,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,10,0.000025,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,12,0.000034,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm300.0Nm30.0deg.csv,100.000000,300.000000,30.000000,19,0.000009,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,1,0.017116,0.017140,0.139634,0.009996
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,2,0.000165,0.000152,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,3,0.000646,0.000739,14.434491,5.128684
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,4,0.000053,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,5,0.000026,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,6,0.000049,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,8,0.000093,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,10,0.000020,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,12,0.000021,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\30degree\100rpm\100.0rpm400.0Nm30.0deg.csv,100.000000,400.000000,30.000000,19,0.000008,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,1,0.017182,0.017174,0.046703,0.071302
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,2,0.000251,0.000117,53.273020,1.179849
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,3,0.000577,0.000709,22.862538,1.151933
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,4,0.000068,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,5,0.000047,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,6,0.000074,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,8,0.000110,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,10,0.000018,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,12,0.000027,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm500.0Nm35.0deg.csv,100.000000,500.000000,35.000000,19,0.000014,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,1,0.017182,0.017163,0.110147,0.096255
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,2,0.000264,0.000131,50.231868,7.775614
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,3,0.000587,0.000716,22.073824,1.343488
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,4,0.000094,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,5,0.000043,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,6,0.000041,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,8,0.000127,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,10,0.000023,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,12,0.000039,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm600.0Nm35.0deg.csv,100.000000,600.000000,35.000000,19,0.000014,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,1,0.017149,0.017136,0.071788,0.141036
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,2,0.000286,0.000179,37.355531,3.009507
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,3,0.000686,0.000761,10.948036,3.818207
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,4,0.000072,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,5,0.000031,0.000000,,
wave52r_promotion_h08_fw_seed_314159,wave52r_promotion_h08,wave52r_offline_leader_cross_surface_promotion,Fw,forward,data\polished_dataset\forward\35degree\100rpm\100.0rpm900.0Nm35.0deg.csv,100.000000,900.000000,35.000000,6,0.000025,0.000000,,
