condition_id,split,direction,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,source_path,source_size_bytes,source_sha256
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,100.0,0.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm0.0Nm25.0deg.csv,18431418,bc93264a1af0a183cc8cced0c64b97f350862cda920693c47a968de57d0d7c3e
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,100.0,0.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm0.0Nm35.0deg.csv,18832583,735a2e4719b4b0361a8082a98091fb9b10bd2acc840d1256574337f1139dd980
speed_100rpm__torque_100Nm__temperature_25degC,train,Fw,100.0,100.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm100.0Nm25.0deg.csv,18161060,e9bb3a0b88fab5a37e5fdd4da12c7109ce63b26946f047816f484f953840b40d
speed_100rpm__torque_200Nm__temperature_25degC,train,Fw,100.0,200.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm200.0Nm25.0deg.csv,18279225,b107dd0117a3fb0d775fe9ef11dea4e16b0c531d45e6444ed555cc3afa9d0ed1
speed_100rpm__torque_200Nm__temperature_30degC,train,Fw,100.0,200.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm200.0Nm30.0deg.csv,18214027,ee678fbb52abd67991fcd26804c7daff83d5f1f5a326c0749fca7ec613677d13
speed_100rpm__torque_200Nm__temperature_35degC,train,Fw,100.0,200.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm200.0Nm35.0deg.csv,18670217,01d30a01f3e9bbc1fc706ca200c13f276d86d4803f802808a870eddbefdc2c1d
speed_100rpm__torque_300Nm__temperature_25degC,train,Fw,100.0,300.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm300.0Nm25.0deg.csv,18263086,b98e9fa90fe21ba5a652f2493e79fe93d1e77de91d66831475dd36d91e420577
speed_100rpm__torque_300Nm__temperature_35degC,train,Fw,100.0,300.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm300.0Nm35.0deg.csv,18729184,9d73233e97f0b8936eb1dd7feaa19687a86541284fa1def91eef05832f7e9be7
speed_100rpm__torque_400Nm__temperature_25degC,train,Fw,100.0,400.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm400.0Nm25.0deg.csv,18257535,3d7013ab75b37525bbda171d6f5b231f8e2ea7bb470cc2a7ebbff65b28e1f603
speed_100rpm__torque_400Nm__temperature_35degC,train,Fw,100.0,400.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm400.0Nm35.0deg.csv,18809664,9e0702fa03ee4c89f7cc95e52971c8ed1e1a68b1593b0120f606617f13c98917
