condition_id,split,direction,model_id,validity_scope,nominal_speed_rpm,nominal_torque_nm,nominal_temperature_deg_c,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,curve_materialization_runtime_microseconds,prediction_memory_bytes
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,PF_A_LOCAL_QUADRATIC,valid_common_split,100.0,0.0,25.0,0.004220915140089605,0.004317608388818473,0.0007418352925778974,0.0009086350088776026,0.004220915140089605,0.0011053365557876296,0.0003282372764009182,0.00019558565957134184,9.094463369242236e-05,0.8895437381255529,321.90000638365746,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,PF_A_PAPER_QUADRATIC,valid_common_split,100.0,0.0,25.0,0.004220915140089604,0.004397659777568669,0.001028050189800368,0.0012342150944659807,0.004220915140089605,0.004205257058538962,0.000297544650551249,2.0158527376808177e-05,0.00033409505745444774,0.8792448370884989,447.39991426467896,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,PF_E_REDUCED_QUADRATIC,valid_common_split,100.0,0.0,25.0,0.004220915140089605,0.004320650765399655,0.0007553000004828143,0.0009229834325224775,0.004220915140089605,0.0014457707137283601,0.0003244213853430516,0.00018688810949896422,0.0001201053928789813,0.9029742896137554,169.00000628083944,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,PF_B_RECOVERED_ONNX,valid_recovered_fw,100.0,0.0,25.0,0.005013728510109026,0.005122346560547074,0.0008480670200285119,0.0010492667502920126,0.0050137285101090265,0.0019541555681840267,0.00028661666596537785,4.7260117068227e-05,0.0002199681709565209,0.6552707932278489,53.95020267638854,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,PF_C_PLC_ORDER10,valid_recovered_plc,100.0,0.0,25.0,0.0030128728340077897,0.0031336381909732236,0.0007083983189314076,0.0008615599793536182,0.0030128728340077897,0.0003570629392117622,0.00029623446372568446,0.00012553175562622036,0.00012014924429501718,0.4582547121856186,189.70004748553038,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,100.0,0.0,25.0,0.00010534739288188823,0.00013216559900345424,0.00010534739288188823,0.0001321655990034542,0.0,0.00010564072739682046,0.00016667409444298987,0.00038359523036216037,2.8912057932946783e-19,6.106226635438361e-16,3817.4999644979835,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,PF_A_LOCAL_QUADRATIC,valid_common_split,100.0,0.0,25.0,0.0030060608044649682,0.003255396965091974,0.001003729193163029,0.0012535020233293986,0.0030043871384758565,0.00030395666385008013,0.0004961179696942636,6.243965484125681e-05,0.00031585651158968554,0.8935107068629181,232.50002413988113,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,PF_A_PAPER_QUADRATIC,valid_common_split,100.0,0.0,25.0,0.0030043871384758556,0.003101271272790925,0.0006286476583383239,0.0007691173054866874,0.0030043871384758565,0.004659220896653431,0.00024502650161048847,6.606926931673057e-06,0.0002308329893906864,1.0087872556427104,461.6000223904848,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,PF_E_REDUCED_QUADRATIC,valid_common_split,100.0,0.0,25.0,0.003004387138475855,0.003145341472812827,0.0007566488632436396,0.0009310375410031671,0.0030043871384758548,0.0007407422999286539,0.0003695011269180534,0.0004512764144342981,0.0002076839697190559,0.7708856716057672,172.80003521591425,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,PF_B_RECOVERED_ONNX,out_of_domain_bw_stress_only,100.0,0.0,25.0,0.011087623496197775,0.01114379742161826,0.0008965712514672643,0.0011175089174716975,0.011087623496197775,0.002683680880816504,0.00024757741358907056,4.7260117068227e-05,0.0003386289051635427,0.9640033347104952,53.75020115348987,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,PF_C_PLC_ORDER10,valid_recovered_plc,100.0,0.0,25.0,0.0037148854242126704,0.003806964643268694,0.000664703828759322,0.000832229583750889,0.0037148854242126713,0.0010110730108555468,0.00027641710069160625,0.00045402368497389836,0.00022496168045238295,0.42321725546449923,180.49997743219137,16384
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,100.0,0.0,25.0,9.559104310323904e-05,0.00012045859497243532,9.559104310323904e-05,0.00012045859497243531,0.0,0.00012321437326330564,0.00015490010315190555,0.00014521876660118782,2.0780541639305502e-19,8.717949202047887e-16,41.199964471161366,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,PF_A_LOCAL_QUADRATIC,valid_common_split,100.0,0.0,35.0,0.006560528967537666,0.006621459173621767,0.0007302634244306871,0.0008962038016204922,0.006560528967537664,0.0007747334715141954,0.00032718942902689753,0.00019934308998529465,0.00014167244402610575,0.5675524736529565,225.99997464567423,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,PF_A_PAPER_QUADRATIC,valid_common_split,100.0,0.0,35.0,0.006560528967537666,0.006669020535738881,0.0009966484016153837,0.0011980378008251977,0.006560528967537664,0.004314084157249043,0.0002889099437408737,6.651013713692387e-06,0.00032303471390188963,0.9680120840802154,480.300048366189,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,PF_E_REDUCED_QUADRATIC,valid_common_split,100.0,0.0,35.0,0.006560528967537666,0.00661908523530486,0.0007067741924611263,0.000878492469136736,0.006560528967537664,0.0005534957347103631,0.00030410413783236355,3.949611358700393e-05,0.00014837131369262535,0.5193297920618345,167.2999933362007,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,PF_B_RECOVERED_ONNX,valid_recovered_fw,100.0,0.0,35.0,0.009143977911197367,0.009196443685296173,0.0007929023033343017,0.000980940577384016,0.009143977911197365,0.0018895427306818077,0.00027854275032526644,5.818267847511067e-05,0.00019635052949782626,0.7830618727841292,51.85030310127429,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,PF_C_PLC_ORDER10,valid_recovered_plc,100.0,0.0,35.0,0.006554737630998031,0.006605199435381435,0.0006759585471703393,0.0008149074609681414,0.00655473763099803,0.0006655052623562169,0.0002819908786126033,2.164329666154083e-05,9.752242479549468e-05,0.5519064034299883,172.80003521591425,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,100.0,0.0,35.0,0.00010737033980656289,0.00013295601343332397,0.0001073703398065629,0.00013295601343332397,0.0,0.00021203921711882012,0.00016915512871248478,0.00014769237672364148,2.650271977186789e-19,1.2590237494533894e-15,37.199934013187885,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,PF_A_LOCAL_QUADRATIC,valid_common_split,100.0,0.0,35.0,0.0012483608548220246,0.001477960324112219,0.0006867013784072305,0.0008587139520730975,0.0012029035988660522,0.002234657026473373,0.00031495675287020864,0.00038335323395262584,0.00017618867784543752,0.8951199503770929,217.7999122068286,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,PF_A_PAPER_QUADRATIC,valid_common_split,100.0,0.0,35.0,0.0012485194572664118,0.0014579499290143857,0.000654922535114581,0.0008237966541253696,0.0012029035988660522,0.004860510828045554,0.0002429400526704531,2.2211279404257822e-08,0.00022461985075184396,0.8322337302036469,432.5000336393714,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,PF_E_REDUCED_QUADRATIC,valid_common_split,100.0,0.0,35.0,0.001233053238421872,0.001443743588053956,0.0006406473936324557,0.0007983849196233691,0.0012029035988660522,0.0027869410220192417,0.00028237841551635484,0.0002161197364108202,0.00015359797174807936,0.7072381610717948,163.1999621167779,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,PF_B_RECOVERED_ONNX,out_of_domain_bw_stress_only,100.0,0.0,35.0,0.014730841917690756,0.014773763922687453,0.0009069529034147331,0.0011253429874070852,0.014730841917690755,0.0027944002353556957,0.00024454949893668607,5.818267847511067e-05,0.0003373144092524838,0.9389113608675008,51.050297009679596,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,PF_C_PLC_ORDER10,valid_recovered_plc,100.0,0.0,35.0,0.0017542177270076075,0.0019469978973243817,0.0006901658878997914,0.0008463539599385711,0.0017534211663721468,0.002202494328999806,0.000244048591197728,0.00034355626274366023,0.00020676548290801772,0.30632669315900996,177.39995382726192,16384
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,100.0,0.0,35.0,9.808363617549719e-05,0.00012362824589860248,9.808363617549719e-05,0.00012362824589860245,0.0,7.249930631172963e-05,0.00016071887410318747,0.00012460879846146883,1.40042780612711e-19,1.3816108750890837e-15,36.9000481441617,16384
speed_100rpm__torque_100Nm__temperature_25degC,train,Fw,PF_A_LOCAL_QUADRATIC,valid_common_split,100.0,100.0,25.0,0.0008758467250379104,0.0010506405841207297,0.0005549496835854212,0.0006803935251026863,0.0008005687278428292,0.00033633738239848693,0.0003248019758579183,0.0002178859551318045,0.00010524387464560424,1.1937546107342765,216.1000156775117,16384
