condition_id,split,signed_setpoint_torque_nm,absolute_setpoint_speed_rpm,setpoint_temperature_deg_c,inside_training_axis_box,nearest_standardized_training_distance,supported_distance_threshold,support_tier,prediction_finite
speed_100rpm__torque_0Nm__temperature_25degC,train,-0.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_0Nm__temperature_35degC,train,-0.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_100Nm__temperature_25degC,train,-100.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_200Nm__temperature_25degC,train,-200.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_200Nm__temperature_30degC,train,-200.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_200Nm__temperature_35degC,train,-200.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_300Nm__temperature_25degC,train,-300.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_300Nm__temperature_35degC,train,-300.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_400Nm__temperature_25degC,train,-400.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_400Nm__temperature_35degC,train,-400.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_500Nm__temperature_25degC,train,-500.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_600Nm__temperature_30degC,train,-600.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_700Nm__temperature_25degC,train,-700.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_700Nm__temperature_30degC,train,-700.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_700Nm__temperature_35degC,train,-700.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_800Nm__temperature_30degC,train,-800.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_900Nm__temperature_25degC,train,-900.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1000Nm__temperature_25degC,train,-1000.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1000Nm__temperature_35degC,train,-1000.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1100Nm__temperature_35degC,train,-1100.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1200Nm__temperature_25degC,train,-1200.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1200Nm__temperature_30degC,train,-1200.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1300Nm__temperature_25degC,train,-1300.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1300Nm__temperature_30degC,train,-1300.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1300Nm__temperature_35degC,train,-1300.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1400Nm__temperature_25degC,train,-1400.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1400Nm__temperature_30degC,train,-1400.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1400Nm__temperature_35degC,train,-1400.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1500Nm__temperature_25degC,train,-1500.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1500Nm__temperature_30degC,train,-1500.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1500Nm__temperature_35degC,train,-1500.0,100.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1600Nm__temperature_25degC,train,-1600.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1700Nm__temperature_25degC,train,-1700.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1700Nm__temperature_30degC,train,-1700.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1800Nm__temperature_25degC,train,-1800.0,100.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_1800Nm__temperature_30degC,train,-1800.0,100.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_0Nm__temperature_25degC,train,-0.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_0Nm__temperature_30degC,train,-0.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_0Nm__temperature_35degC,train,-0.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_100Nm__temperature_25degC,train,-100.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_100Nm__temperature_35degC,train,-100.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_200Nm__temperature_25degC,train,-200.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_200Nm__temperature_35degC,train,-200.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_300Nm__temperature_30degC,train,-300.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_300Nm__temperature_35degC,train,-300.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_400Nm__temperature_25degC,train,-400.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_400Nm__temperature_30degC,train,-400.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_400Nm__temperature_35degC,train,-400.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_500Nm__temperature_25degC,train,-500.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_500Nm__temperature_30degC,train,-500.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_500Nm__temperature_35degC,train,-500.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_600Nm__temperature_25degC,train,-600.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_600Nm__temperature_35degC,train,-600.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_700Nm__temperature_25degC,train,-700.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_700Nm__temperature_35degC,train,-700.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_800Nm__temperature_25degC,train,-800.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_800Nm__temperature_30degC,train,-800.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_800Nm__temperature_35degC,train,-800.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_900Nm__temperature_35degC,train,-900.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1000Nm__temperature_25degC,train,-1000.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1000Nm__temperature_35degC,train,-1000.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1100Nm__temperature_25degC,train,-1100.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1100Nm__temperature_30degC,train,-1100.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1200Nm__temperature_25degC,train,-1200.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1200Nm__temperature_30degC,train,-1200.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1200Nm__temperature_35degC,train,-1200.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1300Nm__temperature_25degC,train,-1300.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1300Nm__temperature_30degC,train,-1300.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1300Nm__temperature_35degC,train,-1300.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1400Nm__temperature_25degC,train,-1400.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1400Nm__temperature_30degC,train,-1400.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1400Nm__temperature_35degC,train,-1400.0,200.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1500Nm__temperature_25degC,train,-1500.0,200.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_200rpm__torque_1500Nm__temperature_30degC,train,-1500.0,200.0,30.0,True,0.0,0.18692370374898815,supported_core,True
