harmonic_order,mean_training_residual_amplitude_deg,selected,selection_rank
159,0.00046210604684058734,True,1
237,0.0003114285996982318,True,2
2,0.00027494004709520246,True,3
80,0.00020673927162044304,True,4
120,0.00019328976445727298,True,5
42,0.0001618148858311126,True,6
158,0.00014189150264072364,True,7
160,0.0001244952234911808,True,8
36,0.00012188136734709183,False,
206,0.00010457598276887144,False,
157,0.00010233177450383419,False,
191,9.91933410576812e-05,False,
16,9.741894876206603e-05,False,
117,8.355627468829366e-05,False,
79,7.738429630714258e-05,False,
234,7.705605459401058e-05,False,
24,7.346574400594355e-05,False,
8,6.191084773641208e-05,False,
17,5.880541921898449e-05,False,
38,5.447260795144207e-05,False,
178,5.321567293868562e-05,False,
18,5.2791972301197336e-05,False,
9,5.1721444200336725e-05,False,
75,5.1199925416606446e-05,False,
118,4.589735551341639e-05,False,
167,4.426512088085698e-05,False,
4,4.406574834546001e-05,False,
205,4.1130419670586606e-05,False,
6,4.044891197179658e-05,False,
149,3.848025082044598e-05,False,
163,3.8193516032716854e-05,False,
198,3.815947631038136e-05,False,
15,3.779759508086027e-05,False,
238,3.76830039621465e-05,False,
148,3.654498996017052e-05,False,
153,3.566212849633609e-05,False,
84,3.484808807577682e-05,False,
72,3.443713564399499e-05,False,
7,3.4045308869732494e-05,False,
48,3.354410070061989e-05,False,
