bootstrap_index,torque_slope_deg_per_nm,shuffled_torque_slope_deg_per_nm
0,3.6760260348229534e-05,-1.136232892140422e-06
1,3.674666131013071e-05,-1.519253263288713e-08
2,3.686048334258695e-05,-3.205859549850162e-07
3,3.675157362998753e-05,-3.3207130662390203e-07
4,3.647591794248069e-05,1.0994019145012497e-06
5,3.656805179327024e-05,2.345725236723617e-06
6,3.692017696853193e-05,1.6073551716662939e-06
7,3.6506358221405486e-05,-8.617936176047714e-07
8,3.6625599231140534e-05,1.3088614991204513e-06
9,3.6863109793403694e-05,-8.710005207747055e-07
10,3.664711143711463e-05,-2.3668268167057244e-06
11,3.652363883435914e-05,1.0544845511957322e-06
12,3.6631684211402795e-05,-5.669293878845328e-07
13,3.681534829264786e-05,-6.380198591345389e-07
14,3.655839489097404e-05,-2.360264915693734e-07
15,3.6577133513690784e-05,-2.2375600069068906e-06
16,3.645162057045206e-05,-4.09890484953653e-07
17,3.6768913157068506e-05,9.56976703733738e-08
18,3.679438546200969e-05,1.7059024892471073e-06
19,3.6312670996604566e-05,1.7207318002991742e-06
20,3.6817355028088095e-05,-5.259915549528727e-07
21,3.691788708521897e-05,2.0437515381105048e-06
22,3.658867061728367e-05,1.122229599539681e-06
23,3.6657703744900616e-05,-1.2245793917696006e-06
24,3.6350612379075e-05,1.2367443832979435e-06
25,3.671058292589601e-05,-1.4558662224102005e-06
26,3.6666387438929305e-05,7.017238810283153e-07
27,3.672527733669542e-05,-1.359631097118485e-07
28,3.6433346814170334e-05,1.4516514312846064e-06
29,3.6914472957668214e-05,-3.1191436960564696e-06
30,3.651932868020019e-05,1.4673046708177899e-06
31,3.690246885137354e-05,2.5748088013038925e-06
32,3.6477960080932524e-05,1.5964829514618102e-06
33,3.676588958451411e-05,5.323477235336819e-07
34,3.676834123812446e-05,-2.560082169114314e-06
35,3.648470460790618e-05,-1.145723092709142e-07
36,3.686281266216569e-05,4.74406884353831e-06
37,3.6851859122449204e-05,3.009678843683217e-07
38,3.6670623647235626e-05,-1.0712131226196753e-07
39,3.6552079354143616e-05,-1.6836571551111942e-06
40,3.6498448841544635e-05,-5.240262600384507e-06
41,3.658178260095132e-05,-2.1672363778477153e-07
42,3.6749927098909636e-05,1.9589383372269824e-06
43,3.6513727612861287e-05,2.9106770929814573e-06
44,3.62476153477075e-05,2.3760904935184364e-06
45,3.649989380974755e-05,-4.219323928608638e-07
46,3.685733967088038e-05,-2.562507907774866e-07
47,3.6704541334787034e-05,-1.993612249150895e-06
48,3.646878078473018e-05,3.4288271766275756e-07
49,3.666336594339598e-05,2.497732972413298e-07
50,3.688059778729811e-05,-2.1454696321725712e-07
51,3.6818218474778245e-05,-2.8067814319830275e-06
52,3.662710552648666e-05,9.410259126935446e-07
53,3.650723706284935e-05,-7.361704030962236e-07
54,3.670993319214832e-05,-1.5686401941191585e-06
55,3.646498884097038e-05,-6.80198015106881e-07
56,3.673171666809286e-05,1.9144135868215404e-06
57,3.657233946926975e-05,2.9942276182433056e-06
58,3.674552184977666e-05,-2.2555475671438216e-07
59,3.644071471548574e-05,-3.947672765779079e-07
60,3.681666138509704e-05,-9.518117386114358e-07
61,3.657314573991506e-05,1.1393019749070562e-06
62,3.644678359310644e-05,4.2553301993450835e-08
63,3.647967458757259e-05,-1.5352977680795947e-06
64,3.643099097113996e-05,1.129240683783939e-06
65,3.687111681435247e-05,-2.7121126968936475e-07
66,3.668889075156504e-05,7.355212369718102e-07
67,3.683787730158411e-05,-2.84008227670618e-07
68,3.648962847297915e-05,3.878107925536004e-07
69,3.635993963634296e-05,1.4490792926697679e-06
70,3.687510065395739e-05,-1.5801657324593026e-07
71,3.6759367426965784e-05,1.3889176212380796e-06
72,3.679270216153296e-05,-1.88216798840499e-06
73,3.6767775397974665e-05,6.896218991372739e-07
74,3.632631001376233e-05,-1.4460559288149116e-06
75,3.6421217114378765e-05,1.0384463564022275e-06
76,3.689145044162693e-05,3.462691049092804e-07
77,3.688659325814555e-05,-3.4226406769149354e-07
78,3.6390887555187164e-05,-2.594123900310811e-07
79,3.6712962451336974e-05,-2.0953782659610921e-07
80,3.6572053856498195e-05,-4.4545886908556996e-07
81,3.651463684861437e-05,-1.7268250694699972e-07
82,3.632674559853892e-05,7.971342789845174e-07
83,3.673491287891902e-05,-6.878347826142481e-08
84,3.6647871232331975e-05,-7.012390583741564e-07
85,3.652485502533421e-05,-2.235108012567472e-06
86,3.635240340907714e-05,-2.09747228826751e-06
87,3.6700676100351266e-05,1.7618133077728285e-06
88,3.6705948188104085e-05,-2.1418794835161925e-06
89,3.689144753794095e-05,2.1118920466146581e-07
90,3.684002993610091e-05,2.1819165761756948e-06
91,3.652909341386517e-05,-1.595005320251309e-06
92,3.6650397669697285e-05,1.9075586177843955e-07
93,3.6552564274779366e-05,8.479258305709833e-07
94,3.642120433741158e-05,-7.152950279578833e-07
95,3.689454568435497e-05,1.2531377682254047e-06
96,3.67217866392608e-05,-1.048105398551863e-06
97,3.655808916419722e-05,-2.965910276887871e-07
98,3.641158189278251e-05,1.5138127449532932e-08
99,3.6684151496205354e-05,1.4212573867457802e-06
100,3.6334670451848954e-05,9.409528969086038e-07
101,3.6620243777706136e-05,8.942782927208593e-07
102,3.628377332963172e-05,8.97555364992236e-07
103,3.6574318620091945e-05,5.680294689375778e-07
104,3.6691627179848805e-05,2.163761115028444e-06
105,3.659520204499143e-05,1.1704352673775675e-06
106,3.653464569779912e-05,-5.20641130640357e-07
107,3.660643624144268e-05,1.1211809885408536e-06
108,3.687213651433208e-05,-1.5449205022205825e-06
109,3.658961038520283e-05,-7.102532501991073e-07
110,3.678520715969388e-05,-3.0329777033452427e-06
111,3.697294396849081e-05,1.0713490779374324e-06
112,3.6779918940510445e-05,-9.57028840732565e-07
113,3.6668641942243396e-05,-1.505356289668264e-06
114,3.677427418390839e-05,-3.669544011694246e-06
115,3.659672745341907e-05,3.9626065955968815e-06
116,3.6555010292782724e-05,-1.319891464870005e-07
117,3.663267837964137e-05,8.020725431013234e-09
118,3.65350210986359e-05,-1.433215157658974e-07
119,3.68937464285829e-05,3.157992731826466e-07
120,3.648853162428044e-05,1.263571242835047e-06
121,3.676513273819396e-05,-2.360794759885417e-06
122,3.65219581677792e-05,7.741947744035491e-07
123,3.657526899225592e-05,-1.3253923634521523e-06
124,3.6558667234034054e-05,-2.77087723308234e-07
125,3.662839417348915e-05,9.487789787064748e-07
126,3.658842746024176e-05,-1.5189728670684575e-06
