candidate_id,queue_index,formulation,order_set_name,capacity_name,run_instance_id,run_directory,best_epoch,validation_curve_mae_deg,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,correction_to_anchor_rms,status
H08,16,banded_coefficient,data_selected,deep,2026-07-28-16-17-15__stage5_h08,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-15__stage5_h08,32,0.0017749601975083351,0.001693342697076239,0.0020045973134847936,0.001363757410588242,0.0016438753727912698,0.0008348460578627494,0.003604732963423032,0.0009365229517133162,0.00043937718356508264,0.00020922355573816154,0.37483645317046943,0.014582185412528429,completed
H06,14,banded_coefficient,core_plus_residual,deep,2026-07-28-16-17-14__stage5_h06,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-14__stage5_h06,48,0.0017872307216748595,0.0017235452775891036,0.0020333364837236256,0.001357506440244174,0.0016357789346038807,0.0008880080336878686,0.004581030116072497,0.0009362588947488492,0.000319034428834992,0.00021474705789332194,0.3580778449725415,0.011803726106050884,completed
H04,12,bounded_coefficient,core,deep,2026-07-28-16-17-13__stage5_h04,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-13__stage5_h04,48,0.0018176616868004203,0.0017258842776965149,0.0020333838740526546,0.0013555282003006159,0.0016330285245646932,0.0008843988627133451,0.004714630209281829,0.0009283035330324238,0.00029120176008028776,0.00018156724497625935,0.32101667110068927,0.006915951448258805,completed
H02,10,anchored_coefficient,core,deep,2026-07-28-16-17-12__stage5_h02,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-12__stage5_h02,45,0.0018116496503353119,0.0017439228350819881,0.0020614754099478627,0.00139037572705027,0.0016776034938817482,0.0008819775564124731,0.004246735050357486,0.0009407012293879902,0.0003358788401867772,0.00022210539144965684,0.35166442358377165,0.010248709736641184,completed
H03,11,bounded_coefficient,core,compact,2026-07-28-16-17-12__stage5_h03,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-12__stage5_h03,48,0.0018471496878191829,0.0017717832854031374,0.002079454769310777,0.0013589255498773524,0.0016371084692331937,0.0009421789109105437,0.004753304521743111,0.0009295725933549704,0.00029338356563533396,0.00018286428463617864,0.30574016483543026,0.003306855055867099,completed
H01,9,anchored_coefficient,core,compact,2026-07-28-16-17-11__stage5_h01,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-11__stage5_h01,48,0.0018442062428221107,0.001794341022062114,0.002125307745578166,0.001422620512796893,0.0017187187828594265,0.0009323610813484599,0.004564845681994605,0.0009379576446965927,0.0002989731320976904,0.00022651925792041558,0.4715203888541558,0.0138836337779235,completed
H07,15,banded_coefficient,data_selected,compact,2026-07-28-16-17-15__stage5_h07,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-15__stage5_h07,45,0.0018337407382205129,0.0018130592633424315,0.0021380543516868068,0.001413447305956019,0.001704521565841268,0.0009546971418901741,0.0038822780314347652,0.0009456043435542633,0.00044372949638816806,0.00021946979875874496,0.6176675461233192,0.014551021299060314,completed
H05,13,banded_coefficient,core_plus_residual,compact,2026-07-28-16-17-13__stage5_h05,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-13__stage5_h05,24,0.001876368303783238,0.001841133473938124,0.0021847858171999517,0.0014875686089305036,0.0017982344771241383,0.0009277002616224983,0.0036253367352548785,0.0009653070428327099,0.0005786918954606907,0.00027358145937406505,0.4675854577221155,0.015001918161760554,completed
A01,17,banded_coefficient,core_plus_residual,compact,2026-07-28-16-17-16__stage5_a01,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-16__stage5_a01,24,0.0018763792468234897,0.0018411687860144554,0.0021848253030851365,0.0014875917114967833,0.0017982718154074576,0.0009277320610077264,0.0036252922622016246,0.0009653075658061259,0.0005786916728313897,0.00027359434720199176,0.46772224593337863,0.015002623675162712,completed
A02,18,banded_coefficient,core_plus_residual,compact,2026-07-28-16-17-16__stage5_a02,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-16__stage5_a02,24,0.0018764844862744212,0.0018414804662942113,0.002185176150603013,0.0014877988029469561,0.001798616115083192,0.0009280020293392011,0.003624640506584426,0.0009653146381363164,0.0005786923263173973,0.00027364028699008715,0.4702092881181586,0.015008991723920865,completed
C07,7,direct_coefficient,data_selected,compact,2026-07-28-16-17-11__stage5_c07,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-11__stage5_c07,41,0.0033507889602333307,0.003495535595195391,0.003861185006243693,0.001538676972851244,0.0018638418776299953,0.0030495173657856416,0.004174600558188695,0.0009602082263811644,0.00047626327717263905,0.0003244744797086084,0.4137597075453276,nan,completed
C08,8,direct_coefficient,data_selected,deep,2026-07-28-16-17-11__stage5_c08,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-28-16-17-11__stage5_c08,48,0.003613976761698723,0.0035125153965510116,0.003826232863226166,0.0014084675779830168,0.0016971175316843013,0.0029503375735467447,0.0042204971092508915,0.0009354562546183803,0.0004128640800829708,0.0002660228684591933,0.4723509357863411,nan,completed
