candidate_id,formulation,library_name,fit_mode,run_instance_id,alpha,threshold,library_term_count,dense_coefficient_slot_count,active_term_count,maximum_terms_per_output,active_fraction,minimum_selected_probability,minimum_selected_sign_agreement,stability_evidence_available,coefficient_mae,runtime_target_derived_input_count,deterministic_replay_max_abs_deg,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg
D02,frozen_stage9_k01,none,replay,frozen_d02,0.0,0.0,0,0,0,0,0.0,1.0,1.0,True,nan,0,0.0,0.0013715533536374368,0.0016408219167274854,0.0012272697615027643,0.0014733995172601965,0.0004958660145720023,0.003312668850788276,0.00089425991476543,0.0006385078442465398,0.00016566389065408304,0.29732804617916025,0.26880707044411084,0.42280235177237757,0.004148434427621059,0.009145499743213678,0.010458052591193617,0.0004958660145720023,0.001227269761502764
R00,dense_ridge_extended_library,extended,ridge,2026-07-29-20-21-50__stage10_r00,1e-06,0.0,29,551,551,29,1.0,1.0,1.0,False,0.00021770676614714875,0,0.0,0.0016571404101357438,0.0019866091219857404,0.0014082851846573686,0.0017024736300266608,0.0007568627820876201,0.00413954181239229,0.0009366206333586347,0.0002971363039768923,0.00020424243627919413,0.35195736466314487,0.2860925088977647,0.33141733956826064,0.003787895918997749,0.00860062552040701,3.213353899182743e-27,0.0007568627820876201,0.0014082851846573686
S01,sequential_thresholded_ridge,extended,stlsq,2026-07-29-20-21-54__stage10_s01,1e-06,0.005,29,551,479,29,0.8693284936479129,1.0,1.0,False,0.00021771071177655328,0,0.0,0.0016579541647758157,0.0019879619968906697,0.0014062032540271938,0.0016998581405898267,0.0007672703641330793,0.004134775154439205,0.0009359240153854176,0.00029584446708932725,0.00020384262534105287,0.35340020041400433,0.28582326499786015,0.33245288295599273,0.0037876800497671104,0.008556310472714233,3.2076130421555165e-27,0.0007672703641330793,0.0014062032540271938
S03,hierarchy_constrained_stable_sparse_refit,extended,hierarchical,2026-07-29-20-22-03__stage10_s03,1e-06,0.005,29,551,369,26,0.6696914700544465,0.0,0.0,True,0.00021723475958147906,0,0.0,0.0016774228963819708,0.002004416572840842,0.001393311527211783,0.0016842185073259392,0.0008095154600636545,0.004059288104202307,0.0009298785014361561,0.0003070823530346841,0.00019878478766445016,0.3734556422820734,0.2836560981317816,0.3339093404509505,0.003762377812767123,0.008669211259593895,3.1103079793460447e-27,0.0008095154600636545,0.001393311527211783
S02,bootstrap_stable_sparse_refit,extended,stable,2026-07-29-20-21-59__stage10_s02,1e-06,0.005,29,551,316,24,0.573502722323049,0.75,0.53125,True,0.00021997404418057492,0,0.0,0.0016962895088744915,0.0020231441777049317,0.0013908194950290214,0.0016809149525972048,0.0008483645053824633,0.004041454536047436,0.0009287541045047796,0.00032772544299472224,0.00019930481205928277,0.39040056207632656,0.2831892888465615,0.3317818967496757,0.0037747756435901427,0.008690990977648633,3.0955670501527364e-27,0.0008483645053824633,0.0013908194950290216
Y01,bounded_separable_symbolic_library,symbolic,symbolic,2026-07-29-20-22-08__stage10_y01,0.0001,0.005,17,323,150,11,0.46439628482972134,0.7604166666666666,0.53125,True,0.0002233470948788765,0,0.0,0.0017067681293506728,0.0020305811861436626,0.0013934640666820282,0.0016833649505951969,0.0008379126630996705,0.004338619868546464,0.0009303738278039459,0.00030656034771917495,0.00021368166975143426,0.3673066926323513,0.2833670265254028,0.33126897472812333,0.003844554699188061,0.00901207930898891,2.7256125286557233e-27,0.0008379126630996705,0.0013934640666820285
D01,frozen_h04,none,replay,frozen_d01,0.0,0.0,0,0,0,0,0.0,1.0,1.0,True,nan,0,0.0,0.0017258842842754081,0.002033383877682704,0.0013555281929631374,0.001633028522744472,0.0008843987299151054,0.0047146305315242405,0.0009283035288957465,0.0002912016952717581,0.00018156724522073805,0.32101667621009283,0.2810656765574874,0.34078217508044023,0.003933436434998775,0.009276846365901991,3.217196027098576e-10,0.0008843987299151054,0.0013555281929631374
D00,frozen_pf_a,none,replay,frozen_d00,0.0,0.0,0,0,0,0,0.0,1.0,1.0,True,nan,0,0.0,0.0018089774868462563,0.0021221862955184993,0.001381874821443183,0.0016650639281341273,0.0009752322939696418,0.0047246780144922194,0.000937212016244136,0.00029462442355142457,0.00019454066244762057,0.33714585315008505,0.2842462295721761,0.3245512856273431,0.003950346800677777,0.00946380737881377,1.9761986423916907e-27,0.0009752322939696418,0.001381874821443183
Q00,complete_quadratic_coefficient_residual,quadratic,quadratic,2026-07-29-20-21-49__stage10_q00,0.0,0.0,10,190,190,10,1.0,1.0,1.0,False,0.0002203918226430113,0,0.0,0.0018204379339925177,0.002131145155826789,0.0013799942634652807,0.0016629787267084656,0.000984198380338718,0.004757201434731407,0.0009370594283337671,0.00029742259269540186,0.00019341624658853086,0.33301211242836015,0.28410470266084437,0.326087967594257,0.003956808598512361,0.009467153593190019,1.9738020703837798e-27,0.000984198380338718,0.0013799942634652802
N01,shuffled_label_stability_control,extended,shuffled,2026-07-29-20-22-12__stage10_n01,1e-06,0.005,29,551,194,19,0.35208711433756806,0.75,0.5208333333333334,True,0.0002259642606710545,0,0.0,0.0018310390607621364,0.002144902880231929,0.001380733526283888,0.0016640755445728771,0.0010169952673975437,0.004593398382482837,0.0009354268144949902,0.0003047277908908125,0.00019327235756313928,0.3815740358852765,0.2838523984369795,0.3204451926145222,0.003990552029047825,0.009443379289843554,2.1701587858042034e-27,0.0010169952673975437,0.001380733526283888
