candidate_id,experiment,primary_metric_name,primary_metric,gate_threshold,higher_is_better,gate_passed,decision,real_data_promotion_allowed
C00,exact_h04_reconstruction,maximum_absolute_curve_error,1.5265566588595902e-16,1e-10,False,True,certified_for_synthetic_use,False
H01,controlled_harmonic_injection,normalized_injected_coefficient_rmse,1.3643861530084843e-15,0.02,False,True,certified_for_synthetic_use,False
H02,controlled_harmonic_omission,omitted_to_complete_curve_error_ratio,3629741190817.0996,5.0,True,True,certified_for_synthetic_use,False
C01,coefficient_surface_perturbation,normalized_correction_rmse,1.8336688558129472e-14,0.02,False,True,certified_for_synthetic_use,False
M01,misspecified_anchor_recovery,normalized_anchor_correction_rmse,2.5509501830598897e-14,0.02,False,True,certified_for_synthetic_use,False
Q01,synthetic_compliance_nonlinearity,normalized_compliance_parameter_rmse,5.835029429209765e-16,0.05,False,True,certified_for_synthetic_use,False
P01,pointwise_oscillator_residual,maximum_normalized_pointwise_residual,103.27257676240839,inf,False,True,certified_for_synthetic_use,False
W01,weak_form_oscillator_residual,weak_residual_density256_noise001,0.0006400299936070868,0.02,False,True,certified_for_synthetic_use,False
D01,sampling_density_stress,minimum_passing_angular_sample_count,128.0,256.0,False,True,certified_for_synthetic_use,False
N01,wrong_law_and_shuffled_controls,minimum_negative_control_rejection_ratio,141.08166829825598,10.0,True,True,certified_for_synthetic_use,False
