density,noise_level,pointwise_residual,weak_residual
2048,0.0,1.9608988339973094e-05,5.558235659774078e-06
2048,0.001,10.394056693869816,1.995203708434574e-05
2048,0.005,51.13226728952005,8.520466984628908e-05
2048,0.01,103.27257676240839,0.00020904935094161878
1024,0.0,7.843410771012007e-05,2.223241948289231e-05
1024,0.001,2.5837966657781513,2.652076649964699e-05
1024,0.005,12.552432324964942,9.568443151276771e-05
1024,0.01,26.591456272300068,0.00015342966736552592
512,0.0,0.0003137069023039545,8.892130796639673e-05
512,0.001,0.6345840491544775,9.57056188324502e-05
512,0.005,3.3381219155115525,0.00020608104286580834
512,0.01,6.421362619731657,0.00037705500782025063
256,0.0,0.0012543552717431416,0.00035555134617292676
256,0.001,0.16010253035445315,0.0003533079693920675
256,0.005,0.8219267039884883,0.000386111017317248
256,0.01,1.6980536207365653,0.0006400299936070868
128,0.0,0.00500987130467724,0.001420065372751536
128,0.001,0.03811005781630389,0.0014297781935698436
128,0.005,0.20057820622495567,0.0014428087492742506
128,0.01,0.3204706115033487,0.001485536869202498
