candidate_id,queue_index,formulation,order_set_name,capacity_name,random_seed,run_instance_id,run_directory,best_epoch,validation_curve_mae_deg,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,correction_to_anchor_rms,status,surface,model_role,best_validation_score,best_validation_mae_deg,checkpoint_path,parameter_count,runtime_target_derived_input_count,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg,residual_rms_deg,residual_abs_max_deg,shuffled_order_prediction_difference_mae_deg,hidden_state_mean_norm,hidden_state_max_batch_mean_norm,reset_reproducibility_max_abs_deg,chunk_equivalence_max_abs_deg,prefix_1_mae_deg,prefix_9_mae_deg,prefix_17_mae_deg,prefix_33_mae_deg,prefix_129_mae_deg,prefix_512_mae_deg,prefix_2048_mae_deg
H04,11,bounded_coefficient,core,deep,314159,2026-07-31-10-39-10__stage5_h04,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-39-10__stage5_h04,48,0.0018176616868004203,0.0017258842776965149,0.0020333838740526546,0.0013555282003006159,0.0016330285245646932,0.0008843988627133451,0.004714630209281829,0.0009283035330324238,0.00029120176008028776,0.00018156724497625935,0.32101667110068927,0.006915951448258805,completed,Fw,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
H08,12,banded_coefficient,data_selected,deep,314159,2026-07-31-10-39-10__stage5_h08,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-39-10__stage5_h08,32,0.0017749601975083351,0.001693342697076239,0.0020045973134847936,0.001363757410588242,0.0016438753727912698,0.0008348460578627494,0.003604732963423032,0.0009365229517133162,0.00043937718356508264,0.00020922355573816154,0.37483645317046943,0.014582185412528429,completed,Fw,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,,h04_coefficient_residual_gru,,,314159,2026-07-31-10-42-27__stage9_k01,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-42-27__stage9_k01,45,,0.001408315109464959,0.001681401950590375,0.0012587092733149518,0.0015097593449176583,0.0005079989138571264,0.0035725467588501353,0.0009078903624248025,0.0006814482669854901,0.0001815166644840032,0.3040462106615401,,completed,Fw,promotion_candidate,0.0021503595635294914,0.00151082593947649,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-42-27__stage9_k01/best_model.pt,159891,0,0.2733962452896692,0.4080459143021658,0.004246901513210868,0.009707410903710101,0.012382561437474321,0.0005079989138571264,0.001258709273314952,0.0010334262624382973,0.005781635642051697,0.0004796475695911795,3.0468385219573975,3.6775424480438232,0.0,6.407499313354492e-07,0.0015891250566787232,0.001401893342300851,0.001392001218789508,0.00139541733187794,0.0014359057156360028,0.0014423182890599578,0.001408315109464959
H04,21,bounded_coefficient,core,deep,271828,2026-07-31-10-42-28__stage5_h04__seed_271828,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-42-28__stage5_h04__seed_271828,48,0.0018104652408510447,0.0017162401677233063,0.0020251594581685707,0.0013588807902670027,0.001637388157436412,0.0008703450842404532,0.004694262549423007,0.0009290391735421951,0.00029682095124165423,0.0001828695790504709,0.3325600174681138,0.007780772650747347,completed,Fw,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
H08,22,banded_coefficient,data_selected,deep,271828,2026-07-31-10-42-29__stage5_h08__seed_271828,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-42-29__stage5_h08__seed_271828,27,0.00175004405900836,0.0016903002679621454,0.0020019504388737413,0.001365131694388509,0.0016460001391564825,0.0008249404712508379,0.003752199729237352,0.0009347122397154148,0.00042834073021892724,0.00021606232569634944,0.4565312101660749,0.015576278491176754,completed,Fw,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,,h04_coefficient_residual_gru,,,271828,2026-07-31-10-45-41__stage9_k01__seed_271828,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-45-41__stage9_k01__seed_271828,47,,0.0013549609869682668,0.0016155168338283584,0.001205197618349857,0.0014442082144503047,0.0004908183563394363,0.0031593354655154965,0.0008873257574203866,0.0007354674342366838,0.00016720692333051031,0.2824454575145999,,completed,Fw,promotion_candidate,0.0020413941238075495,0.0014354911400005221,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-45-41__stage9_k01__seed_271828/best_model.pt,159891,0,0.2664257045861434,0.4373558495320331,0.0039327650718406,0.009294359642609488,0.007937571610049052,0.0004908183563394363,0.001205197618349857,0.0011810805881395936,0.009550154209136963,0.0006074176635593176,3.24595240184239,5.668481349945068,0.0,3.948807716369629e-07,0.0015922781606129797,0.0013690437092200626,0.001361451444562214,0.0013722195355614733,0.0014155734058225533,0.0013882156705361962,0.001354960986968267
H04,31,bounded_coefficient,core,deep,161803,2026-07-31-10-45-41__stage5_h04__seed_161803,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-45-41__stage5_h04__seed_161803,10,0.0018580631585791707,0.0018051146880514754,0.0021183666262235266,0.0013810328022032471,0.0016640876159732954,0.0009714322829351296,0.004721740559499844,0.0009368841467748868,0.0002928727232015778,0.00019416092932156442,0.3323747623051655,0.0006661876101450926,completed,Fw,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
H08,32,banded_coefficient,data_selected,deep,161803,2026-07-31-10-45-42__stage5_h08__seed_161803,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-45-42__stage5_h08__seed_161803,46,0.0017765993252396584,0.00168643569109576,0.0019832134869883816,0.0013189083981186252,0.0015859717713606145,0.0008618087441457528,0.003541112207091117,0.000923483010907644,0.0004723877213972131,0.00020799129412285902,0.3235291848977169,0.012987437150913066,completed,Fw,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,,h04_coefficient_residual_gru,,,161803,2026-07-31-10-48-56__stage9_k01__seed_161803,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-48-56__stage9_k01__seed_161803,47,,0.0015623724139359647,0.0018307772554679328,0.001266208957699627,0.0015166274530122403,0.0006740392325900723,0.0035195132580636843,0.0009086896602559669,0.0007324837263404709,0.00017889025190359877,0.2562126811880585,,completed,Fw,promotion_candidate,0.002153992187231779,0.0015122488839551806,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-48-56__stage9_k01__seed_161803/best_model.pt,159891,0,0.27354559703010595,0.4185920890584141,0.004150623100184768,0.009826164169473892,0.011704404916350719,0.0006740392325900723,0.001266208957699627,0.0012140421895310283,0.006697468459606171,0.0004642681742552668,3.2621424198150635,3.5777409076690674,0.0,5.513429641723633e-07,0.001720790094318073,0.0014799867173976922,0.0014911293715066055,0.0014990939045702349,0.0015006422778490354,0.0015464820555464972,0.0015623724139359645
H04,41,bounded_coefficient,core,deep,314159,2026-07-31-10-48-56__stage5_h04,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-48-56__stage5_h04,36,0.0020270163659006357,0.0019776062733438534,0.0023417890557730935,0.001691147654847939,0.002031524257646599,0.0007218117102587438,0.004361688952968627,0.0010726780735583544,0.0007228753073429017,0.000244922350871398,0.3093422418695977,0.009277943895139702,completed,Bw,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
