epoch,training_raw_mae_deg,validation_score,validation_curve_mae_deg,adaptive_effective_sample_size,closure_multiplier,correction_multiplier,penalty
1,0.0017961948774321828,0.00256133615039289,0.0017700158059597015,675.0000000000001,0.0,0.0,1.0
2,0.0017985869564527517,0.002565133385360241,0.0017677060095593333,675.0000000000001,0.0,0.0,1.0
3,0.0017926900533872636,0.002553582889959216,0.0017645347397774458,675.0000000000001,0.0,0.0,1.0
4,0.0017920997383636097,0.0025317324325442314,0.0017504654824733734,675.0000000000001,0.0,0.0,1.0
5,0.0017684852449916476,0.002528361976146698,0.0017484407871961594,675.0000000000001,0.0,0.0,1.0
6,0.0017670951296337122,0.00252380408346653,0.0017461966490373015,675.0000000000001,0.0,0.0,1.0
7,0.0017454638362450654,0.0025174934417009354,0.0017451333114877343,675.0000000000001,0.0,0.0,1.0
8,0.0017544170570841363,0.0025210150051862,0.0017428746214136481,675.0000000000001,0.0,0.0,1.0
9,0.0017379648756062568,0.002517555607482791,0.001743363100104034,675.0000000000001,0.0,0.0,1.0
10,0.001735223679218528,0.002516146982088685,0.0017408310668542981,675.0000000000001,0.0,0.0,1.0
11,0.0017762713616194074,0.0024976313579827547,0.0017315007280558348,675.0000000000001,0.0,0.0,1.0
12,0.0017335760667053766,0.002486043144017458,0.001725809765048325,675.0000000000001,0.0,0.0,1.0
13,0.0017349707100778645,0.002489339327439666,0.0017263301415368915,675.0000000000001,0.0,0.0,1.0
14,0.0017295582734351588,0.0024739608634263277,0.0017164957243949175,675.0000000000001,0.0,0.0,1.0
15,0.0017152410731542595,0.0024661640636622906,0.0017146108439192176,675.0000000000001,0.0,0.0,1.0
16,0.0017301453748544634,0.0024580599274486303,0.001707790419459343,675.0000000000001,0.0,0.0,1.0
17,0.0017514036762593097,0.002481701085343957,0.001723487046547234,675.0000000000001,0.0,0.0,1.0
18,0.001717674708383721,0.002454511821269989,0.001705142785795033,675.0000000000001,0.0,0.0,1.0
19,0.0017173722694996138,0.002440220443531871,0.0016967087285593152,675.0000000000001,0.0,0.0,1.0
20,0.0017175957598441908,0.0024567879736423492,0.0017056470969691873,675.0000000000001,0.0,0.0,1.0
21,0.0017264677864109535,0.0024460104759782553,0.0016982394736260176,675.0000000000001,0.0,0.0,1.0
22,0.0017124411655416668,0.0024492547381669283,0.0017023531254380941,675.0000000000001,0.0,0.0,1.0
23,0.0017633653451623612,0.002432526322081685,0.0016906805103644729,675.0000000000001,0.0,0.0,1.0
24,0.0016953868474703022,0.0024614217691123486,0.001709090662188828,675.0000000000001,0.0,0.0,1.0
25,0.0017549596161061769,0.002424466423690319,0.0016851185355335474,675.0000000000001,0.0,0.0,1.0
26,0.0016863868087205257,0.0024179357569664717,0.0016823591431602836,675.0000000000001,0.0,0.0,1.0
27,0.0017277056034546085,0.002433320740237832,0.001692294841632247,675.0000000000001,0.0,0.0,1.0
28,0.0017075192394428128,0.002419003751128912,0.0016818540170788765,675.0000000000001,0.0,0.0,1.0
29,0.0016896057153813714,0.002409838605672121,0.0016784367617219687,675.0000000000001,0.0,0.0,1.0
30,0.0016829680683914312,0.002405238337814808,0.0016740546561777592,675.0000000000001,0.0,0.0,1.0
31,0.0016782623472038744,0.002394657814875245,0.0016682982677593827,675.0000000000001,0.0,0.0,1.0
32,0.001681111689364581,0.002367000561207533,0.0016470160335302353,675.0000000000001,0.0,0.0,1.0
33,0.0016878740076885321,0.0023232772946357727,0.0016177152283489704,675.0000000000001,0.0,0.0,1.0
34,0.001636793723243267,0.0022425528150051832,0.0015652583679184318,675.0000000000001,0.0,0.0,1.0
35,0.001614551109987376,0.0022420890163630247,0.0015743346884846687,675.0000000000001,0.0,0.0,1.0
36,0.0016661127460687313,0.0022389113437384367,0.001571384258568287,675.0000000000001,0.0,0.0,1.0
