epoch,training_raw_mae_deg,validation_score,validation_curve_mae_deg,adaptive_effective_sample_size,closure_multiplier,correction_multiplier,penalty
1,0.0017982640271183364,0.0025634828489273787,0.00177192990668118,667.1977787817467,0.0,0.0,1.0
2,0.001957358085810272,0.002567718271166086,0.0017701202305033803,651.7130612787037,0.0,0.0,1.0
3,0.002074139525702353,0.002547338604927063,0.0017612895462661982,634.4998415058167,0.0,0.0,1.0
4,0.0021590183930319928,0.002534050028771162,0.0017522199777886271,617.7606305705696,0.0,0.0,1.0
5,0.0022196572782948267,0.002533253515139222,0.0017513964558020234,601.822649111877,0.0,0.0,1.0
6,0.0023009076059341085,0.0025224355049431324,0.0017457314534112811,588.0272858121906,0.0,0.0,1.0
7,0.0023183390595625307,0.0025179178919643164,0.0017439977964386344,575.93930851109,0.0,0.0,1.0
8,0.002369975665757476,0.002525108866393566,0.0017437571659684181,565.7058417771872,0.0,0.0,1.0
9,0.0024176205584216254,0.002519756555557251,0.0017418713541701436,556.4384942542607,0.0,0.0,1.0
10,0.002434882166156502,0.002534183207899332,0.0017478767549619079,549.0729956024597,0.0,0.0,1.0
11,0.0024894150488381814,0.0025322705041617155,0.0017485111020505428,545.716820555179,0.0,0.0,1.0
12,0.002464291558406034,0.0025170957669615746,0.0017400942742824554,543.0558409640088,0.0,0.0,1.0
13,0.002456582914821284,0.002520495792850852,0.001742442138493061,541.1317170749842,0.0,0.0,1.0
14,0.0024613980826553566,0.0025114475283771753,0.0017355557065457106,539.4508171091566,0.0,0.0,1.0
15,0.0024733656373004927,0.002502960618585348,0.0017317779129371047,538.8419277607583,0.0,0.0,1.0
16,0.002491448028554577,0.002518128603696823,0.0017377129988744855,537.7723186873466,0.0,0.0,1.0
17,0.002536809507779084,0.0024951451923698187,0.001729511539451778,536.073373685296,0.0,0.0,1.0
18,0.0024871733283277513,0.002517411485314369,0.0017363001825287938,534.1837407354749,0.0,0.0,1.0
19,0.0024831509623719854,0.0024841674603521824,0.0017191993538290262,534.0524888549436,0.0,0.0,1.0
20,0.0024941430838648663,0.0024983917828649282,0.0017253663390874863,533.4937942757402,0.0,0.0,1.0
21,0.0025098297506744084,0.0025062558706849813,0.001732154400087893,533.4193836659123,0.0,0.0,1.0
22,0.0024919819308791397,0.002484977710992098,0.0017208404606208205,532.639116970027,0.0,0.0,1.0
23,0.00259941600826244,0.0024678828194737434,0.001706984476186335,532.2992773555233,0.0,0.0,1.0
24,0.0024578511365689337,0.002514265477657318,0.0017358498880639672,532.8837352523652,0.0,0.0,1.0
25,0.0025148758242383253,0.002461083233356476,0.0017034484772011638,532.4877305550617,0.0,0.0,1.0
26,0.002465346591211422,0.0024424332659691572,0.0016940871719270945,532.0660823182964,0.0,0.0,1.0
27,0.0024700752394490465,0.0024103689938783646,0.00166991853620857,533.2958502254377,0.0,0.0,1.0
28,0.0024353810288228615,0.0024053172674030066,0.0016679917462170124,534.0192193251198,0.0,0.0,1.0
29,0.002384470504990151,0.0024077261332422495,0.0016677192179486156,536.3102598195429,0.0,0.0,1.0
30,0.0023824399740565135,0.00237367395311594,0.0016487219836562872,536.8695508241154,0.0,0.0,1.0
31,0.002354684571443169,0.0023672583047300577,0.001641985378228128,537.8764647816215,0.0,0.0,1.0
32,0.0023505930033469098,0.0023717712610960007,0.0016444162465631962,539.370062596083,0.0,0.0,1.0
33,0.002369601611145447,0.0023516761139035225,0.0016289125196635723,540.3324921885999,0.0,0.0,1.0
34,0.0023456005552826924,0.002313702367246151,0.0015996601432561874,539.7267710697951,0.0,0.0,1.0
35,0.002312278088052259,0.002313436008989811,0.0016027858946472406,539.5265731495152,0.0,0.0,1.0
36,0.00241937932861579,0.0023304589558392763,0.0016117122722789645,539.8700976100272,0.0,0.0,1.0
