optimization_step,raw_gradient_norm,mean_gradient_norm,shape_gradient_norm,closure_gradient_norm,correction_gradient_norm,projection_count
0,0.001152599579654634,0.001175308134406805,0.0004736153350677341,0.006577421445399523,0.0,0
100,0.0012886531185358763,0.000993243302218616,0.0011435607448220253,0.013393622823059559,0.0015098886797204614,2
200,0.0014127179747447371,0.002562706358730793,0.0012119136517867446,0.010235284455120564,0.001574182417243719,0
300,0.001762181636877358,0.004634445533156395,0.0010479958727955818,0.012513065710663795,0.0016231010667979717,2
400,0.0025119094643741846,0.0025743606965988874,0.0007651422056369483,0.020766621455550194,0.0019698829855769873,0
500,0.0015004092128947377,0.0018746866844594479,0.001276912516914308,0.026287462562322617,0.0016330317594110966,2
600,0.001222996856085956,0.002515320433303714,0.0012906930642202497,0.008856914937496185,0.0017411353765055537,0
700,0.0023363055661320686,0.003707500407472253,0.001134496764279902,0.020697500556707382,0.0020479089580476284,0
800,0.0019164520781487226,0.0026696007698774338,0.001286436920054257,0.003918076865375042,0.0018414418445900083,0
900,0.0014867909485474229,0.003077468601986766,0.001221629325300455,0.016084445640444756,0.0021522415336221457,2
1000,0.002468409249559045,0.0013773769605904818,0.0011644023470580578,0.009971827268600464,0.0015619966434314847,1
1100,0.001211161375977099,0.0028759140986949205,0.0011056598741561174,0.007177039049565792,0.0017668978543952107,2
1200,0.0030449051409959793,0.0029026095289736986,0.0017492464976385236,0.018182970583438873,0.001579027040861547,1
1300,0.0016085522947832942,0.0018014329252764583,0.0014280533650889993,0.017452023923397064,0.0016853881534188986,0
1400,0.00214110198430717,0.00410272553563118,0.0018247112166136503,0.009501953609287739,0.0019008881645277143,1
1500,0.0018181769410148263,0.003057321533560753,0.0013449718244373798,0.015824245288968086,0.0013513254234567285,1
