epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.01716289483010769,0.0,0.8903259634971619,0.0,0.0,0.1,0.0,0.10619549453258514,0.0007571619935333729,nan,0.01615014486014843,nan,0.0018188894027844071
2,0.017160525545477867,0.0,0.8902441263198853,0.0,0.0,0.1,0.0,0.1061849445104599,nan,nan,nan,nan,0.0018172083655372262
3,0.01715795509517193,0.0,0.8901566863059998,0.0,0.0,0.1,0.0,0.10617362707853317,nan,nan,nan,nan,0.0018158572493121028
4,0.017155731096863747,0.0,0.8900874257087708,0.0,0.0,0.1,0.0,0.10616447031497955,nan,nan,nan,nan,0.0018158056773245335
5,0.017153391614556313,0.0,0.890014111995697,0.0,0.0,0.1,0.0,0.10615479946136475,nan,nan,nan,nan,0.00181618332862854
6,0.01715114712715149,0.0,0.8899452686309814,0.0,0.0,0.1,0.0,0.10614567250013351,nan,nan,nan,nan,0.0018161307089030743
7,0.01714898832142353,0.0,0.8898822665214539,0.0,0.0,0.1,0.0,0.106137216091156,nan,nan,nan,nan,0.0018154355930164456
8,0.01714674010872841,0.0,0.8898184299468994,0.0,0.0,0.1,0.0,0.10612858831882477,0.000735168403480202,nan,0.013408618047833443,nan,0.0018144679488614202
9,0.017144447192549706,0.0,0.8897554278373718,0.0,0.0,0.1,0.0,0.10611999034881592,nan,nan,nan,nan,0.0018136815633624792
10,0.017142178490757942,0.0,0.8896951675415039,0.0,0.0,0.1,0.0,0.10611169785261154,nan,nan,nan,nan,0.0018132752738893032
11,0.01713990606367588,0.0,0.8896352052688599,0.0,0.0,0.1,0.0,0.10610342770814896,nan,nan,nan,nan,0.0018131587421521544
12,0.017137611284852028,0.0,0.8895735740661621,0.0,0.0,0.1,0.0,0.10609497129917145,nan,nan,nan,nan,0.0018131363904103637
13,0.01713533140718937,0.0,0.8895117044448853,0.0,0.0,0.1,0.0,0.10608649998903275,nan,nan,nan,nan,0.0018130340613424778
14,0.017133068293333054,0.0,0.8894504308700562,0.0,0.0,0.1,0.0,0.1060781180858612,nan,nan,nan,nan,0.001812758157029748
15,0.01713075488805771,0.0,0.8893886804580688,0.0,0.0,0.1,0.0,0.10606962442398071,nan,nan,nan,nan,0.0018123112386092544
16,0.01712838001549244,0.0,0.8893261551856995,0.0,0.0,0.1,0.0,0.10606099665164948,0.0007110701408237219,nan,0.011546637862920761,nan,0.0018117725849151611
17,0.017125986516475677,0.0,0.8892637491226196,0.0,0.0,0.1,0.0,0.10605236142873764,nan,nan,nan,nan,0.0018112650141119957
18,0.017123600468039513,0.0,0.8892014622688293,0.0,0.0,0.1,0.0,0.1060437485575676,nan,nan,nan,nan,0.0018108953954651952
19,0.017121227458119392,0.0,0.8891381621360779,0.0,0.0,0.1,0.0,0.10603504627943039,nan,nan,nan,nan,0.0018106864299625158
20,0.017118865624070168,0.0,0.8890739679336548,0.0,0.0,0.1,0.0,0.10602626204490662,nan,nan,nan,nan,0.0018105533672496676
21,0.017116526141762733,0.0,0.8890097141265869,0.0,0.0,0.1,0.0,0.10601750016212463,nan,nan,nan,nan,0.0018103586044162512
22,0.017114192247390747,0.0,0.8889452219009399,0.0,0.0,0.1,0.0,0.10600871592760086,nan,nan,nan,nan,0.0018100105226039886
23,0.01711183972656727,0.0,0.8888801336288452,0.0,0.0,0.1,0.0,0.10599984973669052,nan,nan,nan,nan,0.001809535315260291
24,0.017109481617808342,0.0,0.8888145685195923,0.0,0.0,0.1,0.0,0.1059909388422966,0.0006650566356256604,nan,0.011173722334206104,nan,0.00180904776789248
25,0.01710713654756546,0.0,0.8887488842010498,0.0,0.0,0.1,0.0,0.10598202794790268,nan,nan,nan,nan,0.0018086531199514866
26,0.017104804515838623,0.0,0.8886824250221252,0.0,0.0,0.1,0.0,0.10597304999828339,nan,nan,nan,nan,0.0018083729082718492
27,0.01710248924791813,0.0,0.888615071773529,0.0,0.0,0.1,0.0,0.10596399754285812,nan,nan,nan,nan,0.0018081532325595617
28,0.017100190743803978,0.0,0.8885470032691956,0.0,0.0,0.1,0.0,0.10595489293336868,nan,nan,nan,nan,0.0018079144647344947
29,0.01709790900349617,0.0,0.88847815990448,0.0,0.0,0.1,0.0,0.10594572126865387,nan,nan,nan,nan,0.0018076063133776188
30,0.017095616087317467,0.0,0.888408362865448,0.0,0.0,0.1,0.0,0.1059364527463913,nan,nan,nan,nan,0.001807230757549405
31,0.017093323171138763,0.0,0.8883377909660339,0.0,0.0,0.1,0.0,0.10592710226774216,nan,nan,nan,nan,0.0018068361096084118
32,0.01709103398025036,0.0,0.8882664442062378,0.0,0.0,0.1,0.0,0.10591768473386765,0.0006321646505966783,nan,0.01136193796992302,nan,0.001806487562134862
33,0.01708875223994255,0.0,0.8881940841674805,0.0,0.0,0.1,0.0,0.10590815544128418,nan,nan,nan,nan,0.0018062202725559473
34,0.01708647795021534,0.0,0.8881206512451172,0.0,0.0,0.1,0.0,0.10589854419231415,nan,nan,nan,nan,0.00180600315798074
35,0.017084214836359024,0.0,0.888046145439148,0.0,0.0,0.1,0.0,0.10588882863521576,nan,nan,nan,nan,0.0018057528650388122
36,0.01708194799721241,0.0,0.8879707455635071,0.0,0.0,0.1,0.0,0.10587902367115021,nan,nan,nan,nan,0.0018054126994684339
37,0.01707967184484005,0.0,0.8878941535949707,0.0,0.0,0.1,0.0,0.10586909204721451,nan,nan,nan,nan,0.0018050152575597167
38,0.017077390104532242,0.0,0.8878166675567627,0.0,0.0,0.1,0.0,0.10585905611515045,nan,nan,nan,nan,0.00180466054007411
39,0.017075102776288986,0.0,0.8877381682395935,0.0,0.0,0.1,0.0,0.10584892332553864,nan,nan,nan,nan,0.0018044104799628258
40,0.01707281358540058,0.0,0.8876583576202393,0.0,0.0,0.1,0.0,0.10583864897489548,0.0006216790061444044,nan,0.012074909172952175,nan,0.0018042265437543392
41,0.01707051880657673,0.0,0.8875772356987,0.0,0.0,0.1,0.0,0.10582824051380157,nan,nan,nan,nan,0.001804010709747672
42,0.01706821657717228,0.0,0.8874951004981995,0.0,0.0,0.1,0.0,0.10581772774457932,nan,nan,nan,nan,0.0018037091940641403
43,0.017065897583961487,0.0,0.8874117732048035,0.0,0.0,0.1,0.0,0.10580707341432571,nan,nan,nan,nan,0.0018033607630059123
44,0.01706356182694435,0.0,0.8873271346092224,0.0,0.0,0.1,0.0,0.10579627752304077,nan,nan,nan,nan,0.0018030444625765085
45,0.01706121675670147,0.0,0.8872411847114563,0.0,0.0,0.1,0.0,0.10578534007072449,nan,nan,nan,nan,0.00180279731284827
46,0.01705886237323284,0.0,0.8871538639068604,0.0,0.0,0.1,0.0,0.10577425360679626,nan,nan,nan,nan,0.0018025906756520271
47,0.017056496813893318,0.0,0.8870653510093689,0.0,0.0,0.1,0.0,0.1057630330324173,nan,nan,nan,nan,0.0018023703014478087
48,0.01705411821603775,0.0,0.8869753479957581,0.0,0.0,0.1,0.0,0.1057516559958458,0.0006245171534828842,nan,0.013142203912138939,nan,0.0018021087162196636
