epoch,curve_loss,spectral_loss,derivative_loss,weak_loss,active_spectral_weight,active_derivative_weight,active_weak_weight,total_loss,curve_gradient_norm,spectral_gradient_norm,derivative_gradient_norm,weak_gradient_norm,validation_curve_mae_deg
1,0.01716289483010769,0.0,0.0,0.5544949769973755,0.0,0.0,0.25,0.1557866334915161,0.0007571619935333729,nan,nan,0.40999463200569153,0.0018164361827075481
2,0.01716364547610283,0.0,0.0,0.5534312129020691,0.0,0.0,0.25,0.1555214524269104,nan,nan,nan,nan,0.0018157073063775897
3,0.017166871577501297,0.0,0.0,0.5525018572807312,0.0,0.0,0.25,0.1552923321723938,nan,nan,nan,nan,0.0018151648109778762
4,0.017171213403344154,0.0,0.0,0.5516806244850159,0.0,0.0,0.25,0.15509137511253357,nan,nan,nan,nan,0.0018147355876863003
5,0.017175626009702682,0.0,0.0,0.5509455800056458,0.0,0.0,0.25,0.15491202473640442,nan,nan,nan,nan,0.0018143713241443038
6,0.017179304733872414,0.0,0.0,0.5502790808677673,0.0,0.0,0.25,0.1547490805387497,nan,nan,nan,nan,0.001814029412344098
7,0.017181750386953354,0.0,0.0,0.549666702747345,0.0,0.0,0.25,0.1545984297990799,nan,nan,nan,nan,0.0018136872677132487
8,0.01718277856707573,0.0,0.0,0.549098014831543,0.0,0.0,0.25,0.15445728600025177,0.0026507654692977667,nan,nan,0.2666130065917969,0.0018133475678041577
9,0.017182474955916405,0.0,0.0,0.5485659837722778,0.0,0.0,0.25,0.15432396531105042,nan,nan,nan,nan,0.001813030568882823
10,0.017181100323796272,0.0,0.0,0.5480659008026123,0.0,0.0,0.25,0.1541975736618042,nan,nan,nan,nan,0.0018127673538401723
11,0.017178991809487343,0.0,0.0,0.5475947260856628,0.0,0.0,0.25,0.1540776789188385,nan,nan,nan,nan,0.0018125904025509953
12,0.017176508903503418,0.0,0.0,0.5471498966217041,0.0,0.0,0.25,0.15396398305892944,nan,nan,nan,nan,0.0018125366186723113
13,0.01717396453022957,0.0,0.0,0.5467277765274048,0.0,0.0,0.25,0.15385590493679047,nan,nan,nan,nan,0.0018126346403732896
14,0.017171600833535194,0.0,0.0,0.5463248491287231,0.0,0.0,0.25,0.15375281870365143,nan,nan,nan,nan,0.0018129043746739626
15,0.017169587314128876,0.0,0.0,0.5459374189376831,0.0,0.0,0.25,0.15365394949913025,nan,nan,nan,nan,0.0018133495468646288
16,0.017168017104268074,0.0,0.0,0.5455615520477295,0.0,0.0,0.25,0.1535584032535553,0.0017654949333518744,nan,nan,0.19249653816223145,0.0018139616586267948
17,0.017166920006275177,0.0,0.0,0.5451934337615967,0.0,0.0,0.25,0.15346527099609375,nan,nan,nan,nan,0.0018147140508517623
18,0.01716627925634384,0.0,0.0,0.5448304414749146,0.0,0.0,0.25,0.15337389707565308,nan,nan,nan,nan,0.0018155743600800633
19,0.01716604083776474,0.0,0.0,0.5444700121879578,0.0,0.0,0.25,0.15328353643417358,nan,nan,nan,nan,0.0018165059154853225
20,0.01716613955795765,0.0,0.0,0.5441107153892517,0.0,0.0,0.25,0.15319381654262543,nan,nan,nan,nan,0.0018174670403823256
