epoch,curve_loss,mean_loss,shape_loss,compliance_loss,total_loss,effective_compliance_weight,raw_compliance_gradient_cosine,mean_compliance_gradient_cosine,shape_compliance_gradient_cosine,compliance_gradient_norm,derivative_mean_deg_per_nm,derivative_negative_fraction,validation_curve_mae_deg
1,0.01716289296746254,0.009403846226632595,0.010340074077248573,5.000026794732548e-05,0.022103872150182724,0.1,-0.18604262173175812,-0.21516677737236023,0.04481178894639015,0.001758704544045031,-3.502648837638844e-08,0.5896296501159668,0.0018187949899584055
2,0.017159979790449142,0.00940063875168562,0.010339489206671715,4.579362939693965e-05,0.02209959179162979,0.1,-0.5429602265357971,-0.5421460270881653,-0.15631015598773956,0.0015833263751119375,-9.24745879871125e-09,0.5274074077606201,0.0018179148901253939
3,0.017156586050987244,0.009397320449352264,0.010338501073420048,4.656418605009094e-05,0.022095197811722755,0.1,-0.5321699976921082,-0.5291288495063782,-0.13105937838554382,0.0015963180921971798,-9.854463023373228e-09,0.5318518280982971,0.0018164743669331074
4,0.017153192311525345,0.009393887594342232,0.01033759769052267,4.8358495405409485e-05,0.02209089882671833,0.1,-0.42973849177360535,-0.44877660274505615,-0.014501688070595264,0.0016456755110993981,-1.585396880443568e-08,0.5451852083206177,0.0018156369915232062
5,0.01714998669922352,0.009390461258590221,0.010336876846849918,4.966781125403941e-05,0.022086787968873978,0.1,-0.36028528213500977,-0.40769797563552856,0.07178472727537155,0.001675886451266706,-1.8839752868871074e-08,0.551111102104187,0.001815355266444385
6,0.017146777361631393,0.009387044236063957,0.010336148552596569,5.0101600209018216e-05,0.022082585841417313,0.1,-0.38224920630455017,-0.43127766251564026,0.0877050906419754,0.001673070015385747,-1.6941475777798587e-08,0.5377777814865112,0.0018151749391108751
7,0.017143575474619865,0.009383639320731163,0.010335419327020645,4.997510768589564e-05,0.022078337147831917,0.1,-0.4562969207763672,-0.48993369936943054,0.05570850148797035,0.0016500727506354451,-1.1924815801478417e-08,0.5259259343147278,0.0018147826194763184
8,0.017140431329607964,0.009380231611430645,0.010334745049476624,4.978191645932384e-05,0.022074153646826744,0.1,-0.5253798961639404,-0.5454217195510864,-0.00038436506292782724,0.0016255014343187213,-6.437618882415563e-09,0.5051851868629456,0.0018141372129321098
9,0.017137307673692703,0.00937678199261427,0.010334123857319355,4.989103399566375e-05,0.0220700241625309,0.1,-0.5616838335990906,-0.576305091381073,-0.033902909606695175,0.0016123653622344136,-2.550138988866024e-09,0.4977777898311615,0.001813386450521648
10,0.017134137451648712,0.009373247623443604,0.010333518497645855,5.044375211582519e-05,0.022065872326493263,0.1,-0.5685420036315918,-0.5818650126457214,-0.03488673269748688,0.0016149464063346386,-1.0667369210182187e-09,0.4933333396911621,0.0018126684008166194
11,0.01713092252612114,0.009369629435241222,0.010332928970456123,5.1384788093855605e-05,0.022061700001358986,0.1,-0.5537528395652771,-0.5693168044090271,-0.007746719755232334,0.0016309554921463132,-1.5970968991751988e-09,0.48444443941116333,0.0018120299791917205
12,0.017127707600593567,0.009365973994135857,0.010332364588975906,5.25527102581691e-05,0.0220575463026762,0.1,-0.5242550373077393,-0.5473102331161499,0.037174906581640244,0.0016538499621674418,-3.1130369393395085e-09,0.48444443941116333,0.0018114729318767786
13,0.01712450571358204,0.009362315759062767,0.010331820696592331,5.375001273932867e-05,0.022053416818380356,0.1,-0.49477866291999817,-0.5272687673568726,0.07544789463281631,0.0016765431500971317,-4.457712421412907e-09,0.48592591285705566,0.001810996443964541
14,0.017121316865086555,0.009358668699860573,0.010331275872886181,5.4805201216368005e-05,0.022049281746149063,0.1,-0.48194631934165955,-0.5194978713989258,0.09355654567480087,0.0016935184830799699,-4.750869031511229e-09,0.482962965965271,0.0018105893395841122
15,0.01711813360452652,0.009355035610496998,0.010330728255212307,5.563451850321144e-05,0.022045139223337173,0.1,-0.4920341670513153,-0.5273923873901367,0.09063243865966797,0.001702809240669012,-3.6740401831991676e-09,0.4785185158252716,0.0018102017929777503
16,0.01711496338248253,0.009351412765681744,0.010330187156796455,5.627277641906403e-05,0.022040989249944687,0.1,-0.5179299712181091,-0.5461508631706238,0.06752891093492508,0.0017059404635801911,-1.5385962504055328e-09,0.4696296155452728,0.0018097481224685907
17,0.01711180992424488,0.009347781538963318,0.010329666547477245,5.684831558028236e-05,0.022036856040358543,0.1,-0.5452347993850708,-0.5659047365188599,0.03362419456243515,0.0017076339572668076,9.053763849742325e-10,0.45629629492759705,0.001809170818887651
18,0.017108654603362083,0.009344126097857952,0.010329165495932102,5.751349453930743e-05,0.022032728418707848,0.1,-0.5625130534172058,-0.5776488184928894,0.006710459478199482,0.0017131055938079953,2.8491828896193283e-09,0.44296297430992126,0.001808494096621871
19,0.01710548624396324,0.009340438060462475,0.01032867282629013,5.8373119827592745e-05,0.022028600797057152,0.1,-0.5649574398994446,-0.577104389667511,-0.0034834803082048893,0.0017250804230570793,3.800396441988596e-09,0.4385185241699219,0.0018078162102028728
20,0.017102302983403206,0.009336721152067184,0.010328185744583607,5.9446007071528584e-05,0.022024473175406456,0.1,-0.553366482257843,-0.565661609172821,0.0029736196156591177,0.0017436532070860267,3.759219158183669e-09,0.4385185241699219,0.0018072336679324508
21,0.017099114134907722,0.009332996793091297,0.010327700525522232,6.066817877581343e-05,0.022020356729626656,0.1,-0.5345615744590759,-0.549562394618988,0.019142741337418556,0.0017663635080680251,3.1483695650535992e-09,0.4385185241699219,0.0018067691707983613
