epoch,curve_loss,mean_loss,shape_loss,compliance_loss,total_loss,effective_compliance_weight,raw_compliance_gradient_cosine,mean_compliance_gradient_cosine,shape_compliance_gradient_cosine,compliance_gradient_norm,derivative_mean_deg_per_nm,derivative_negative_fraction,validation_curve_mae_deg
1,0.01716289296746254,0.009403846226632595,0.010340074077248573,1630.03662109375,163.0257568359375,0.1,0.1432098001241684,0.1421220451593399,0.02838231809437275,723.9793090820312,-3.502648837638844e-08,0.5896296501159668,0.0018222329672425985
2,0.01716507598757744,0.009405327960848808,0.010341182351112366,1625.0926513671875,162.53135681152344,0.1,-0.5263456702232361,-0.5119731426239014,-0.24853089451789856,722.0783081054688,2.003273458228705e-08,0.4444444477558136,0.0018274482572451234
3,0.017173850908875465,0.009412058629095554,0.010345074348151684,1620.1658935546875,162.0386962890625,0.1,-0.7037126421928406,-0.7889805436134338,-0.2753296196460724,721.252685546875,7.498777421233171e-08,0.33037036657333374,0.0018332690233364701
4,0.017188744619488716,0.009424002841114998,0.010351302102208138,1615.2578125,161.54791259765625,0.1,-0.7606894969940186,-0.8836158514022827,-0.28145623207092285,721.5114135742188,1.2981863051209075e-07,0.2696296274662018,0.0018396731466054916
5,0.01720956526696682,0.009441116824746132,0.010359704494476318,1610.36962890625,161.0591278076172,0.1,-0.7868396639823914,-0.9229928851127625,-0.2824878990650177,722.8524780273438,1.8451491712312418e-07,0.22518518567085266,0.0018466714536771178
6,0.017236212268471718,0.009463370777666569,0.010370205156505108,1605.5020751953125,160.57241821289062,0.1,-0.8014848232269287,-0.9427393674850464,-0.28106608986854553,725.2550659179688,2.390665940765757e-07,0.18666666746139526,0.0018542184261605144
7,0.017268605530261993,0.009490728378295898,0.010382752865552902,1600.6561279296875,160.0878448486328,0.1,-0.8107062578201294,-0.9541029930114746,-0.27803128957748413,728.6904296875,2.934604310667055e-07,0.1644444465637207,0.001862280652858317
8,0.017306668683886528,0.009523151442408562,0.0103972889482975,1595.8330078125,159.6055908203125,0.1,-0.8170160055160522,-0.9613760113716125,-0.27378159761428833,733.1278076171875,3.47686324175811e-07,0.145185187458992,0.0018708271672949195
9,0.017350291833281517,0.009560603648424149,0.010413738898932934,1591.0325927734375,159.12559509277344,0.1,-0.8216486573219299,-0.9664546847343445,-0.26856866478919983,738.5317993164062,4.017388448573911e-07,0.12888889014720917,0.001879835152067244
10,0.01739935763180256,0.009603039361536503,0.010432016104459763,1586.25537109375,158.64794921875,0.1,-0.825272262096405,-0.9702761769294739,-0.2625829577445984,744.8599853515625,4.556167709779402e-07,0.11259259283542633,0.0018892697989940643
11,0.017453745007514954,0.009650429710745811,0.010452021844685078,1581.5010986328125,158.17259216308594,0.1,-0.8282710909843445,-0.9733458161354065,-0.2559840679168701,752.0618896484375,5.093210688755789e-07,0.09481481462717056,0.0018990994431078434
12,0.01751331426203251,0.009702726267278194,0.010473648086190224,1576.769775390625,157.6995391845703,0.1,-0.8308792114257812,-0.9759507179260254,-0.24890843033790588,760.0805053710938,5.628533585877449e-07,0.07999999821186066,0.0019092938164249063
13,0.01757792942225933,0.00975989829748869,0.010496781207621098,1572.0609130859375,157.22874450683594,0.1,-0.8332497477531433,-0.9782509207725525,-0.24147479236125946,768.8526611328125,6.162158570077736e-07,0.06962963193655014,0.0019198341760784388
14,0.017647434026002884,0.009821919724345207,0.01052128802984953,1567.3743896484375,156.7601776123047,0.1,-0.8354846239089966,-0.980324387550354,-0.23378820717334747,778.310791015625,6.694099852211366e-07,0.051851850003004074,0.0019306723261252046
15,0.017721684649586678,0.009888779371976852,0.010547030717134476,1562.7099609375,156.2938232421875,0.1,-0.8376506567001343,-0.9822022318840027,-0.22594180703163147,788.384521484375,7.224367664093734e-07,0.04444444552063942,0.0019417862640693784
16,0.017800532281398773,0.009960477240383625,0.0105738565325737,1558.0679931640625,155.82974243164062,0.1,-0.8397939205169678,-0.9838972091674805,-0.21801787614822388,799.00146484375,7.752962005724839e-07,0.028148148208856583,0.0019531624857336283
