epoch,curve_loss,mean_loss,shape_loss,compliance_loss,total_loss,effective_compliance_weight,raw_compliance_gradient_cosine,mean_compliance_gradient_cosine,shape_compliance_gradient_cosine,compliance_gradient_norm,derivative_mean_deg_per_nm,derivative_negative_fraction,validation_curve_mae_deg
1,0.01716289296746254,0.009403846226632595,0.010340074077248573,747.82177734375,74.80428314208984,0.1,0.14442779123783112,0.14251334965229034,0.030810702592134476,334.5455627441406,-3.502648837638844e-08,0.5896296501159668,0.0018223391380161047
2,0.017165113240480423,0.009405397810041904,0.010341169312596321,745.5308837890625,74.5751953125,0.1,-0.5251536965370178,-0.5121844410896301,-0.24648313224315643,333.67877197265625,1.998857079854588e-08,0.44592592120170593,0.0018276512855663896
3,0.01717393286526203,0.009412210434675217,0.010345044545829296,743.2478637695312,74.3469009399414,0.1,-0.701866626739502,-0.7880289554595947,-0.2734715938568115,333.3081359863281,7.490375963925544e-08,0.33037036657333374,0.0018335665808990598
4,0.017188867554068565,0.009424250572919846,0.010351244360208511,740.9738159179688,74.11951446533203,0.1,-0.7587591409683228,-0.882056474685669,-0.27972280979156494,333.4381408691406,1.296952945040175e-07,0.2696296274662018,0.0018400639528408647
5,0.017209727317094803,0.009441470727324486,0.010359610430896282,738.70947265625,73.89311218261719,0.1,-0.7849417924880981,-0.9212016463279724,-0.2808269262313843,334.0680847167969,1.8434603532568872e-07,0.22518518567085266,0.0018471460789442062
6,0.01723639667034149,0.009463821537792683,0.010370062664151192,736.4552612304688,73.667724609375,0.1,-0.7997022867202759,-0.940974771976471,-0.27946749329566956,335.1918029785156,2.388466100455844e-07,0.18666666746139526,0.0018547544023022056
7,0.01726878620684147,0.009491251781582832,0.010382551699876785,734.2114868164062,73.44338989257812,0.1,-0.8091105818748474,-0.9525732398033142,-0.2764979302883148,336.796630859375,2.931878384515585e-07,0.1644444465637207,0.00186284224037081
8,0.017306795343756676,0.00952369999140501,0.010397017933428288,731.9785766601562,73.22014617919922,0.1,-0.8156604170799255,-0.9602688550949097,-0.2723139822483063,338.86627197265625,3.473599861081311e-07,0.145185187458992,0.0018713740864768624
9,0.01735030487179756,0.009561100974678993,0.010413390584290028,729.7568359375,72.99803161621094,0.1,-0.8205708265304565,-0.9659284949302673,-0.2671637237071991,341.38214111328125,4.0135591916623525e-07,0.1303703635931015,0.0018803244456648827
10,0.01739918813109398,0.009603402577340603,0.010431581176817417,727.54638671875,72.77704620361328,0.1,-0.8244746327400208,-0.9703884124755859,-0.2612363398075104,344.3230895996094,4.551720849121921e-07,0.11259259283542633,0.0018896876135841012
11,0.017453325912356377,0.0096505768597126,0.010451494716107845,725.3472900390625,72.55720520019531,0.1,-0.8277164101600647,-0.9740264415740967,-0.2546912729740143,347.66497802734375,5.088074317427527e-07,0.09481481462717056,0.0018994401907548308
12,0.017512602731585503,0.009702607989311218,0.010473022237420082,723.159423828125,72.3385009765625,0.1,-0.830506443977356,-0.9770473837852478,-0.24766619503498077,351.3807678222656,5.622625280921056e-07,0.07999999821186066,0.0019095761235803366
13,0.017576895654201508,0.009759485721588135,0.0104960473254323,720.9828491210938,72.12093353271484,0.1,-0.832988977432251,-0.9795870184898376,-0.24028001725673676,355.4409484863281,6.155380560812773e-07,0.06814815104007721,0.0019200796959921718
14,0.017646072432398796,0.009821209125220776,0.010520439594984055,718.8173828125,71.90446472167969,0.1,-0.8352744579315186,-0.9817449450492859,-0.23263731598854065,359.81414794921875,6.686350388918072e-07,0.054814815521240234,0.0019309043418616056
15,0.01771998032927513,0.009887768886983395,0.010546059347689152,716.6631469726562,71.68914031982422,0.1,-0.837448000907898,-0.9835957288742065,-0.22483180463314056,364.467529296875,7.215534765236953e-07,0.04444444552063942,0.0019420180469751358
16,0.017798468470573425,0.009959160350263119,0.010572751052677631,714.52001953125,71.47493743896484,0.1,-0.839573323726654,-0.985196053981781,-0.21694689989089966,369.3675842285156,7.742930279164284e-07,0.028148148208856583,0.0019534083548933268
