method	ampl_0_MAE	ampl_1_MAE	ampl_3_MAE	ampl_39_MAE	ampl_40_MAE	ampl_78_MAE	ampl_81_MAE	ampl_156_MAE	ampl_162_MAE
DT	3.4e-03	1.8e-05	1.4e-05	2.6e-05	2.0e-05	3.8e-05	8.4e-06	4.0e-05	4.0e-05
ET	3.5e-03	2.0e-05	1.5e-05	2.4e-05	2.0e-05	3.8e-05	1.2e-05	3.6e-05	5.6e-05
ETs	3.1e-03	1.7e-05	1.4e-05	1.9e-05	1.6e-05	2.4e-05	7.2e-06	2.5e-05	2.9e-05
RF	3.0e-03	1.6e-05	1.3e-05	1.8e-05	1.6e-05	2.4e-05	6.8e-06	3.6e-05	4.3e-05
GBM	3.1e-03	1.7e-05	1.3e-05	1.8e-05	1.7e-05	2.5e-05	7.3e-06	3.9e-05	4.5e-05
HGBM	2.4e-03	1.7e-05	1.1e-05	1.5e-05	1.7e-05	1.8e-05	7.3e-06	6.7e-05	1.1e-04
XGBM	2.5e-03	3.5e-05	5.2e-05	6.8e-05	4.2e-05	7.2e-05	3.0e-05	1.5e-04	1.6e-04
LGBM	2.4e-03	1.7e-05	1.1e-05	1.5e-05	1.7e-05	1.9e-05	7.8e-06	5.8e-05	1.0e-04
SVM	2.7e-03	3.6e-05	1.0e-04	9.6e-05	5.0e-05	1.7e-04	5.8e-05	2.8e-04	4.4e-04
MLP	9.5e-03	4.1e-03	4.2e-03	3.6e-03	4.4e-03	4.5e-03	4.7e-03	4.3e-03	5.2e-03
	4.2e-03	2.5e-05	3.0e-05	5.0e-05	3.1e-05	8.6e-05	1.7e-05	5.8e-04	8.1e-04
