method	ampl_0_MAPE	ampl_1_MAPE	ampl_3_MAPE	ampl_39_MAPE	ampl_40_MAPE	ampl_78_MAPE	ampl_81_MAPE	ampl_156_MAPE	ampl_162_MAPE
DT	1.4e-01	5.1e-04	3.4e-04	5.6e-04	5.5e-04	1.1e-03	2.5e-04	1.0e-03	9.6e-04
ET	1.2e-01	5.3e-04	3.8e-04	5.7e-04	6.2e-04	1.1e-03	3.1e-04	1.2e-03	1.5e-03
ETs	1.1e-01	4.6e-04	4.9e-04	4.5e-04	4.9e-04	6.4e-04	2.2e-04	9.6e-04	7.9e-04
RF	1.1e-01	4.4e-04	3.3e-04	4.3e-04	4.8e-04	7.2e-04	2.1e-04	1.1e-03	1.0e-03
GBM	1.1e-01	4.6e-04	3.8e-04	4.5e-04	4.9e-04	6.7e-04	2.4e-04	1.1e-03	1.1e-03
HGBM	9.6e-02	4.6e-04	3.9e-04	4.0e-04	5.2e-04	6.0e-04	2.3e-04	2.4e-03	3.0e-03
XGBM	1.1e-01	1.0e-03	1.6e-03	1.9e-03	1.2e-03	2.0e-03	7.4e-04	3.8e-03	3.0e-03
LGBM	9.5e-02	4.7e-04	3.6e-04	4.1e-04	5.1e-04	6.1e-04	2.5e-04	2.0e-03	2.9e-03
SVM	1.1e-01	9.7e-04	3.1e-03	2.8e-03	1.5e-03	3.5e-03	1.6e-03	6.9e-03	9.0e-03
MLP	3.1e-01	1.3e-01	1.2e-01	1.0e-01	1.2e-01	1.3e-01	1.4e-01	1.3e-01	1.5e-01
	1.7e-01	7.3e-04	9.9e-04	1.4e-03	9.4e-04	2.5e-03	4.9e-04	1.6e-02	2.1e-02
