method	phase_0_MAPE	phase_1_MAPE	phase_3_MAPE	phase_39_MAPE	phase_40_MAPE	phase_78_MAPE	phase_81_MAPE	phase_156_MAPE	phase_162_MAPE
DT	0.0e+00	5.2e-04	4.2e-04	6.4e-04	7.2e-04	1.0e-03	4.3e-04	2.4e-03	1.1e-03
ET	0.0e+00	6.6e-04	5.2e-04	5.8e-04	8.3e-04	9.5e-04	6.0e-04	8.4e-03	1.2e-03
ETs	0.0e+00	7.1e-04	4.2e-04	4.7e-04	6.6e-04	7.3e-04	4.0e-04	2.6e-03	1.0e-03
RF	0.0e+00	5.3e-04	3.5e-04	4.5e-04	6.4e-04	8.1e-04	3.8e-04	2.5e-03	1.2e-03
GBM	0.0e+00	5.9e-04	3.6e-04	4.9e-04	6.1e-04	8.1e-04	3.9e-04	3.2e-03	1.4e-03
HGBM	0.0e+00	5.3e-04	3.1e-04	3.7e-04	7.0e-04	1.0e-03	4.0e-04	5.8e-03	2.3e-03
XGBM	0.0e+00	5.8e-04	3.2e-04	5.5e-04	9.5e-04	1.5e-03	5.2e-04	8.7e-03	3.9e-03
LGBM	0.0e+00	5.3e-04	3.3e-04	3.7e-04	6.9e-04	1.0e-03	3.8e-04	5.6e-03	2.7e-03
SVM	0.0e+00	6.6e-04	4.2e-04	5.1e-04	1.1e-03	2.0e-03	7.5e-04	1.3e-02	8.5e-03
MLP	9.5e-02	2.2e-03	7.5e-04	1.0e-03	1.2e-03	1.9e-03	7.8e-04	1.6e-02	7.3e-03
	0.0e+00	9.1e-04	6.5e-04	1.1e-03	1.3e-03	2.0e-03	8.6e-04	1.4e-02	9.9e-03
