method	ampl_0_MSE	ampl_1_MSE	ampl_3_MSE	ampl_39_MSE	ampl_40_MSE	ampl_78_MSE	ampl_81_MSE	ampl_156_MSE	ampl_162_MSE
DT	2.4e-05	7.8e-10	5.3e-10	1.4e-09	1.0e-09	3.4e-09	1.6e-10	2.0e-08	1.5e-08
ET	2.0e-05	8.7e-10	6.1e-10	1.3e-09	9.4e-10	3.6e-09	3.6e-10	1.9e-08	7.3e-08
ETs	1.6e-05	6.7e-10	5.8e-10	7.8e-10	6.8e-10	1.6e-09	1.2e-10	9.1e-09	1.3e-08
RF	1.6e-05	6.4e-10	4.4e-10	7.4e-10	6.8e-10	1.6e-09	1.2e-10	1.5e-08	2.4e-08
GBM	1.6e-05	6.5e-10	4.7e-10	7.8e-10	7.5e-10	1.5e-09	1.3e-10	1.4e-08	2.5e-08
HGBM	1.2e-05	6.5e-10	3.0e-10	5.1e-10	7.2e-10	1.0e-09	1.2e-10	3.0e-08	1.2e-07
XGBM	1.3e-05	2.5e-09	5.0e-09	9.0e-09	3.8e-09	1.2e-08	1.8e-09	1.5e-07	2.8e-07
LGBM	1.2e-05	6.9e-10	3.3e-10	5.3e-10	7.3e-10	1.1e-09	1.3e-10	2.3e-08	1.1e-07
SVM	1.5e-05	2.7e-09	1.6e-08	1.6e-08	4.5e-09	5.4e-08	5.2e-09	3.8e-07	2.5e-06
MLP	1.9e-04	6.7e-05	6.7e-05	5.5e-05	1.0e-04	8.8e-05	1.1e-04	8.6e-05	1.2e-04
	6.0e-05	2.6e-09	2.3e-09	1.0e-08	2.7e-09	2.5e-08	7.6e-10	1.6e-06	3.2e-06
