method	ampl_0_RMSE	ampl_1_RMSE	ampl_3_RMSE	ampl_39_RMSE	ampl_40_RMSE	ampl_78_RMSE	ampl_81_RMSE	ampl_156_RMSE	ampl_162_RMSE
DT	3.4e-03	2.0e-05	1.6e-05	2.8e-05	2.3e-05	4.2e-05	9.3e-06	4.5e-05	4.4e-05
ET	3.5e-03	2.2e-05	1.7e-05	2.7e-05	2.2e-05	4.2e-05	1.3e-05	4.0e-05	6.2e-05
ETs	3.1e-03	1.9e-05	1.6e-05	2.1e-05	1.8e-05	2.7e-05	8.0e-06	2.7e-05	3.2e-05
RF	3.0e-03	1.8e-05	1.4e-05	2.0e-05	1.8e-05	2.7e-05	7.6e-06	4.0e-05	4.8e-05
GBM	3.1e-03	1.8e-05	1.5e-05	2.0e-05	1.9e-05	2.8e-05	8.2e-06	4.3e-05	5.1e-05
HGBM	2.4e-03	1.9e-05	1.2e-05	1.6e-05	1.8e-05	2.1e-05	8.1e-06	7.4e-05	1.2e-04
XGBM	2.5e-03	3.9e-05	5.7e-05	7.6e-05	4.7e-05	8.0e-05	3.3e-05	1.7e-04	1.8e-04
LGBM	2.4e-03	1.9e-05	1.3e-05	1.7e-05	1.9e-05	2.1e-05	8.6e-06	6.4e-05	1.2e-04
SVM	2.7e-03	3.9e-05	1.1e-04	1.1e-04	5.6e-05	1.9e-04	6.4e-05	3.1e-04	4.9e-04
MLP	9.5e-03	4.6e-03	4.6e-03	4.0e-03	4.9e-03	5.0e-03	5.3e-03	4.8e-03	5.7e-03
	4.2e-03	2.7e-05	3.3e-05	5.5e-05	3.4e-05	9.6e-05	1.9e-05	6.4e-04	9.0e-04
